ID;Accounts;Credit_duration;Credit_history;Purpose_credit;Credit_amount;Savings;Seniority_employment;Installment_rate;Marital_status;Guarantees;Seniority_residence;Assets;Age;Other_credits;Status_residence;Nb_credits;Job;Number_of_dependents;Telephone;Credit
266;2;15;A32;A43;802;1;5;4;A93;A101;3;A123;37;A143;A152;1;A173;2;A191;2
267;4;36;A34;A49;6304;0;5;4;A93;A101;4;A121;36;A143;A152;2;A173;1;A191;1
268;4;24;A32;A43;1533;1;2;4;A92;A101;3;A123;38;A142;A152;1;A173;1;A192;1
269;1;14;A32;A40;8978;1;5;1;A91;A101;4;A122;45;A143;A152;1;A174;1;A192;2
270;4;24;A32;A43;999;0;5;4;A93;A101;2;A123;25;A143;A152;2;A173;1;A191;1
271;4;18;A32;A40;2662;0;4;4;A93;A101;3;A122;32;A143;A152;1;A173;1;A191;1
272;4;12;A34;A42;1402;3;4;3;A92;A101;4;A123;37;A143;A151;1;A173;1;A192;1
273;2;48;A31;A40;12169;0;1;4;A93;A102;4;A124;36;A143;A153;1;A174;1;A192;1
274;2;48;A32;A43;3060;1;4;4;A93;A101;4;A121;28;A143;A152;2;A173;1;A191;2
275;1;30;A32;A45;11998;1;2;1;A91;A101;1;A124;34;A143;A152;1;A172;1;A192;2
276;4;9;A32;A43;2697;1;3;1;A93;A101;2;A121;32;A143;A152;1;A173;2;A191;1
277;4;18;A34;A43;2404;1;3;2;A92;A101;2;A123;26;A143;A152;2;A173;1;A191;1
278;1;12;A32;A42;1262;0;5;2;A91;A101;4;A122;49;A143;A152;1;A172;1;A192;1
279;4;6;A32;A42;4611;1;2;1;A92;A101;4;A122;32;A143;A152;1;A173;1;A191;2
280;4;24;A32;A43;1901;2;3;4;A93;A101;4;A123;29;A143;A151;1;A174;1;A192;1
281;4;15;A34;A41;3368;4;5;3;A93;A101;4;A124;23;A143;A151;2;A173;1;A192;1
282;4;12;A32;A42;1574;1;3;4;A93;A101;2;A121;50;A143;A152;1;A173;1;A191;1
283;3;18;A31;A43;1445;0;4;4;A93;A101;4;A123;49;A141;A152;1;A172;1;A191;1
284;4;15;A34;A42;1520;0;5;4;A93;A101;4;A122;63;A143;A152;1;A173;1;A191;1
285;2;24;A34;A40;3878;2;2;4;A91;A101;2;A123;37;A143;A152;1;A173;1;A192;1
286;1;47;A32;A40;10722;1;2;1;A92;A101;1;A121;35;A143;A152;1;A172;1;A192;1
287;1;48;A32;A41;4788;1;4;4;A93;A101;3;A122;26;A143;A152;1;A173;2;A191;1
288;2;48;A33;A41;7582;2;1;2;A93;A101;4;A124;31;A143;A153;1;A174;1;A192;1
289;2;12;A32;A43;1092;1;3;4;A92;A103;4;A121;49;A143;A152;2;A173;1;A192;1
290;1;24;A33;A43;1024;1;2;4;A94;A101;4;A121;48;A142;A152;1;A173;1;A191;2
291;4;12;A32;A49;1076;1;3;2;A94;A101;2;A121;26;A143;A152;1;A173;1;A192;1
292;2;36;A32;A41;9398;1;2;1;A94;A101;4;A123;28;A143;A151;1;A174;1;A192;2
293;1;24;A34;A41;6419;1;5;2;A92;A101;4;A124;44;A143;A153;2;A174;2;A192;1
294;3;42;A34;A41;4796;1;5;4;A93;A101;4;A124;56;A143;A153;1;A173;1;A191;1
295;4;48;A34;A49;7629;0;5;4;A91;A101;2;A123;46;A141;A152;2;A174;2;A191;1
296;2;48;A32;A42;9960;1;2;1;A92;A101;2;A123;26;A143;A152;1;A173;1;A192;2
297;4;12;A32;A41;4675;0;2;1;A92;A101;4;A123;20;A143;A151;1;A173;1;A191;1
298;4;10;A32;A40;1287;0;5;4;A93;A102;2;A122;45;A143;A152;1;A172;1;A191;1
299;4;18;A32;A42;2515;1;3;3;A93;A101;4;A121;43;A143;A152;1;A173;1;A192;1
300;2;21;A34;A42;2745;4;4;3;A93;A101;2;A123;32;A143;A152;2;A173;1;A192;1
301;4;6;A32;A40;672;1;1;1;A92;A101;4;A121;54;A143;A152;1;A171;1;A192;1
302;2;36;A30;A43;3804;1;3;4;A92;A101;1;A123;42;A143;A152;1;A173;1;A192;2
303;3;24;A34;A40;1344;0;4;4;A93;A101;2;A121;37;A141;A152;2;A172;2;A191;2
304;1;10;A34;A40;1038;1;4;4;A93;A102;3;A122;49;A143;A152;2;A173;1;A192;1
305;4;48;A34;A40;10127;3;3;2;A93;A101;2;A124;44;A141;A153;1;A173;1;A191;2
306;4;6;A32;A42;1543;4;3;4;A91;A101;2;A121;33;A143;A152;1;A173;1;A191;1
307;4;30;A32;A41;4811;0;4;2;A92;A101;4;A122;24;A142;A151;1;A172;1;A191;1
308;1;12;A32;A43;727;2;2;4;A94;A101;3;A124;33;A143;A152;1;A172;1;A192;2
309;2;8;A32;A42;1237;1;3;3;A92;A101;4;A121;24;A143;A152;1;A173;1;A191;2
310;2;9;A32;A40;276;1;3;4;A94;A101;4;A121;22;A143;A151;1;A172;1;A191;1
311;2;48;A32;A41;5381;0;1;3;A93;A101;4;A124;40;A141;A153;1;A171;1;A192;1
312;4;24;A32;A42;5511;2;3;4;A93;A101;1;A123;25;A142;A152;1;A173;1;A191;1
313;3;24;A32;A42;3749;1;2;2;A92;A101;4;A123;26;A143;A152;1;A173;1;A191;1
314;2;12;A32;A40;685;1;4;2;A94;A101;3;A123;25;A141;A152;1;A172;1;A191;2
315;3;4;A32;A40;1494;0;2;1;A93;A101;2;A121;29;A143;A152;1;A172;2;A191;1
316;1;36;A31;A42;2746;1;5;4;A93;A101;4;A123;31;A141;A152;1;A173;1;A191;2
317;1;12;A32;A42;708;1;3;2;A93;A103;3;A122;38;A143;A152;1;A172;2;A191;1
318;2;24;A32;A42;4351;0;3;1;A92;A101;4;A122;48;A143;A152;1;A172;1;A192;1
319;4;12;A34;A46;701;1;3;4;A93;A101;2;A123;32;A143;A152;2;A173;1;A191;1
320;1;15;A33;A42;3643;1;5;1;A92;A101;4;A122;27;A143;A152;2;A172;1;A191;1
321;2;30;A34;A40;4249;1;1;4;A94;A101;2;A123;28;A143;A152;2;A174;1;A191;2
322;1;24;A32;A43;1938;1;2;4;A91;A101;3;A122;32;A143;A152;1;A173;1;A191;2
323;1;24;A32;A41;2910;1;4;2;A93;A101;1;A124;34;A143;A153;1;A174;1;A192;1
324;1;18;A32;A42;2659;4;3;4;A93;A101;2;A123;28;A143;A152;1;A173;1;A191;1
325;4;18;A34;A40;1028;1;3;4;A92;A101;3;A121;36;A143;A152;2;A173;1;A191;1
326;1;8;A34;A40;3398;1;4;1;A93;A101;4;A121;39;A143;A152;2;A172;1;A191;1
327;4;12;A34;A42;5801;0;5;2;A93;A101;4;A122;49;A143;A151;1;A173;1;A192;1
328;4;24;A32;A40;1525;4;4;4;A92;A101;3;A123;34;A143;A152;1;A173;2;A192;1
329;3;36;A32;A43;4473;1;5;4;A93;A101;2;A123;31;A143;A152;1;A173;1;A191;1
330;2;6;A32;A43;1068;1;5;4;A93;A101;4;A123;28;A143;A152;1;A173;2;A191;1
331;1;24;A34;A41;6615;1;1;2;A93;A101;4;A124;75;A143;A153;2;A174;1;A192;1
332;4;18;A34;A46;1864;2;3;4;A92;A101;2;A121;30;A143;A152;2;A173;1;A191;2
333;2;60;A32;A40;7408;2;2;4;A92;A101;2;A122;24;A143;A152;1;A174;1;A191;2
334;4;48;A34;A41;11590;2;3;2;A92;A101;4;A123;24;A141;A151;2;A172;1;A191;2
335;1;24;A30;A42;4110;1;5;3;A93;A101;4;A124;23;A141;A151;2;A173;2;A191;2
336;1;6;A34;A42;3384;1;3;1;A91;A101;4;A121;44;A143;A151;1;A174;1;A192;2
337;2;13;A32;A43;2101;1;2;2;A92;A103;4;A122;23;A143;A152;1;A172;1;A191;1
338;1;15;A32;A44;1275;0;3;4;A92;A101;2;A123;24;A143;A151;1;A173;1;A191;2
339;1;24;A32;A42;4169;1;3;4;A93;A101;4;A122;28;A143;A152;1;A173;1;A191;1
340;2;10;A32;A42;1521;1;3;4;A91;A101;2;A123;31;A143;A152;1;A172;1;A191;1
341;2;24;A34;A46;5743;1;2;2;A92;A101;4;A124;24;A143;A153;2;A173;1;A192;1
342;1;21;A32;A42;3599;1;4;1;A92;A101;4;A123;26;A143;A151;1;A172;1;A191;1
343;2;18;A32;A43;3213;3;2;1;A94;A101;3;A121;25;A143;A151;1;A173;1;A191;1
344;2;18;A32;A49;4439;1;5;1;A93;A102;1;A121;33;A141;A152;1;A174;1;A192;1
345;3;10;A32;A40;3949;1;2;1;A93;A103;1;A122;37;A143;A152;1;A172;2;A191;1
346;4;15;A34;A43;1459;1;3;4;A92;A101;2;A123;43;A143;A152;1;A172;1;A191;1
347;2;13;A34;A43;882;1;2;4;A93;A103;4;A121;23;A143;A152;2;A173;1;A191;1
348;2;24;A32;A43;3758;3;1;1;A92;A101;4;A124;23;A143;A151;1;A171;1;A191;1
349;4;6;A33;A49;1743;2;3;1;A93;A101;2;A121;34;A143;A152;2;A172;1;A191;1
350;2;9;A34;A46;1136;4;5;4;A93;A101;3;A124;32;A143;A153;2;A173;2;A191;2
351;4;9;A32;A44;1236;1;2;1;A92;A101;4;A121;23;A143;A151;1;A173;1;A192;1
352;2;9;A32;A42;959;1;3;1;A92;A101;2;A123;29;A143;A152;1;A173;1;A191;2
353;4;18;A34;A41;3229;0;1;2;A93;A101;4;A124;38;A143;A152;1;A174;1;A192;1
354;1;12;A30;A43;6199;1;3;4;A93;A101;2;A122;28;A143;A151;2;A173;1;A192;2
355;4;10;A32;A46;727;3;5;4;A93;A101;4;A124;46;A143;A153;1;A173;1;A192;1
356;2;24;A32;A40;1246;1;2;4;A93;A101;2;A121;23;A142;A152;1;A172;1;A191;2
357;4;12;A34;A43;2331;0;5;1;A93;A102;4;A121;49;A143;A152;1;A173;1;A192;1
358;4;36;A33;A43;4463;1;3;4;A93;A101;2;A123;26;A143;A152;2;A174;1;A192;2
359;4;12;A32;A43;776;1;3;4;A94;A101;2;A121;28;A143;A152;1;A173;1;A191;1
360;1;30;A32;A42;2406;1;4;4;A92;A101;4;A121;23;A143;A151;1;A173;1;A191;2
361;2;18;A32;A46;1239;0;3;4;A93;A101;4;A124;61;A143;A153;1;A173;1;A191;1
362;3;12;A32;A43;3399;0;5;2;A93;A101;3;A123;37;A143;A152;1;A174;1;A191;1
363;3;12;A33;A40;2247;1;3;2;A92;A101;2;A123;36;A142;A152;2;A173;1;A192;1
364;4;6;A32;A42;1766;1;3;1;A94;A101;2;A122;21;A143;A151;1;A173;1;A191;1
365;1;18;A32;A42;2473;1;1;4;A93;A101;1;A123;25;A143;A152;1;A171;1;A191;2
366;4;12;A32;A49;1542;1;4;2;A93;A101;4;A123;36;A143;A152;1;A173;1;A192;1
367;4;18;A34;A41;3850;1;4;3;A93;A101;1;A123;27;A143;A152;2;A173;1;A191;1
368;1;18;A32;A42;3650;1;2;1;A92;A101;4;A123;22;A143;A151;1;A173;1;A191;1
369;1;36;A32;A42;3446;1;5;4;A93;A101;2;A123;42;A143;A152;1;A173;2;A191;2
370;2;18;A32;A42;3001;1;4;2;A92;A101;4;A121;40;A143;A151;1;A173;1;A191;1
371;4;36;A32;A40;3079;0;3;4;A93;A101;4;A121;36;A143;A152;1;A173;1;A191;1
372;4;18;A34;A43;6070;1;5;3;A93;A101;4;A123;33;A143;A152;2;A173;1;A192;1
373;4;10;A34;A42;2146;1;2;1;A92;A101;3;A121;23;A143;A151;2;A173;1;A191;1
374;4;60;A34;A40;13756;0;5;2;A93;A101;4;A124;63;A141;A153;1;A174;1;A192;1
375;2;60;A31;A41;14782;2;5;3;A92;A101;4;A124;60;A141;A153;2;A174;1;A192;2
376;1;48;A31;A49;7685;1;4;2;A92;A103;4;A123;37;A143;A151;1;A173;1;A191;2
377;4;18;A33;A43;2320;1;1;2;A94;A101;3;A121;34;A143;A152;2;A173;1;A191;1
378;4;7;A33;A43;846;0;5;3;A93;A101;4;A124;36;A143;A153;1;A173;1;A191;1
379;2;36;A32;A40;14318;1;5;4;A93;A101;2;A124;57;A143;A153;1;A174;1;A192;2
380;4;6;A34;A40;362;2;3;4;A92;A101;4;A123;52;A143;A152;2;A172;1;A191;1
381;1;20;A32;A42;2212;0;4;4;A93;A101;4;A123;39;A143;A152;1;A173;1;A192;1
382;2;18;A32;A41;12976;1;1;3;A92;A101;4;A124;38;A143;A153;1;A174;1;A192;2
383;4;22;A32;A40;1283;0;4;4;A92;A101;4;A122;25;A143;A151;1;A173;1;A191;1
384;3;12;A32;A40;1330;1;2;4;A93;A101;1;A121;26;A143;A152;1;A173;1;A191;1
385;4;30;A33;A49;4272;2;3;2;A93;A101;2;A122;26;A143;A152;2;A172;1;A191;1
386;4;18;A34;A43;2238;1;3;2;A92;A101;1;A123;25;A143;A152;2;A173;1;A191;1
387;4;18;A32;A43;1126;0;2;4;A92;A101;2;A121;21;A143;A151;1;A173;1;A192;1
388;2;18;A34;A42;7374;1;1;4;A93;A101;4;A122;40;A142;A152;2;A174;1;A192;1
389;2;15;A34;A49;2326;3;3;2;A93;A101;4;A123;27;A141;A152;1;A173;1;A191;1
390;4;9;A32;A49;1449;1;4;3;A92;A101;2;A123;27;A143;A152;2;A173;1;A191;1
391;4;18;A32;A40;1820;1;3;2;A94;A101;2;A122;30;A143;A152;1;A174;1;A192;1
392;2;12;A32;A42;983;4;2;1;A92;A101;4;A121;19;A143;A151;1;A172;1;A191;1
393;1;36;A32;A40;3249;1;4;2;A93;A101;4;A124;39;A141;A153;1;A174;2;A192;1
394;1;6;A34;A43;1957;1;4;1;A92;A101;4;A123;31;A143;A152;1;A173;1;A191;1
395;4;9;A34;A42;2406;1;1;2;A93;A101;3;A123;31;A143;A152;1;A174;1;A191;1
396;2;39;A33;A46;11760;2;4;2;A93;A101;3;A124;32;A143;A151;1;A173;1;A192;1
397;1;12;A32;A42;2578;1;1;3;A92;A101;4;A124;55;A143;A153;1;A174;1;A191;1
398;1;36;A34;A42;2348;1;3;3;A94;A101;2;A122;46;A143;A152;2;A173;1;A192;1
399;2;12;A32;A40;1223;1;5;1;A91;A101;1;A121;46;A143;A151;2;A173;1;A191;2
400;4;24;A34;A43;1516;4;3;4;A92;A101;1;A121;43;A143;A152;2;A172;1;A191;1
401;4;18;A32;A43;1473;1;2;3;A94;A101;4;A121;39;A143;A152;1;A173;1;A192;1
402;2;18;A34;A49;1887;0;3;4;A94;A101;4;A121;28;A141;A152;2;A173;1;A191;1
403;4;24;A33;A49;8648;1;2;2;A93;A101;2;A123;27;A141;A152;2;A173;1;A192;2
404;4;14;A33;A40;802;1;3;4;A93;A101;2;A123;27;A143;A152;2;A172;1;A191;1
405;2;18;A33;A40;2899;0;5;4;A93;A101;4;A123;43;A143;A152;1;A173;2;A191;1
406;2;24;A32;A43;2039;1;2;1;A94;A101;1;A122;22;A143;A152;1;A173;1;A192;2
407;4;24;A34;A41;2197;0;4;4;A93;A101;4;A123;43;A143;A152;2;A173;2;A192;1
408;1;15;A32;A43;1053;1;2;4;A94;A101;2;A121;27;A143;A152;1;A173;1;A191;1
409;4;24;A32;A43;3235;3;5;3;A91;A101;2;A123;26;A143;A152;1;A174;1;A192;1
410;3;12;A34;A40;939;3;4;4;A94;A101;2;A121;28;A143;A152;3;A173;1;A192;2
411;2;24;A32;A43;1967;1;5;4;A92;A101;4;A123;20;A143;A152;1;A173;1;A192;1
412;4;33;A34;A41;7253;1;4;3;A93;A101;2;A123;35;A143;A152;2;A174;1;A192;1
413;4;12;A34;A49;2292;1;1;4;A93;A101;2;A123;42;A142;A152;2;A174;1;A192;2
414;4;10;A32;A40;1597;3;3;3;A93;A101;2;A124;40;A143;A151;1;A172;2;A191;1
415;1;24;A32;A40;1381;0;3;4;A92;A101;2;A122;35;A143;A152;1;A173;1;A191;2
416;4;36;A34;A41;5842;1;5;2;A93;A101;2;A122;35;A143;A152;2;A173;2;A192;1
417;1;12;A32;A40;2579;1;2;4;A93;A101;1;A121;33;A143;A152;1;A172;2;A191;2
418;1;18;A33;A46;8471;0;3;1;A92;A101;2;A123;23;A143;A151;2;A173;1;A192;1
419;4;21;A32;A40;2782;3;4;1;A92;A101;2;A123;31;A141;A152;1;A174;1;A191;1
420;2;18;A32;A40;1042;0;3;4;A92;A101;2;A122;33;A143;A152;1;A173;1;A191;2
421;4;15;A32;A40;3186;4;4;2;A92;A101;3;A123;20;A143;A151;1;A173;1;A191;1
422;2;12;A32;A41;2028;0;3;4;A93;A101;2;A123;30;A143;A152;1;A173;1;A191;1
423;2;12;A34;A40;958;1;4;2;A93;A101;3;A121;47;A143;A152;2;A172;2;A191;1
424;4;21;A33;A42;1591;2;4;4;A93;A101;3;A121;34;A143;A152;2;A174;1;A191;1
425;2;12;A32;A42;2762;0;5;1;A92;A101;2;A122;25;A141;A152;1;A173;1;A192;2
426;2;18;A32;A41;2779;1;3;1;A94;A101;3;A123;21;A143;A151;1;A173;1;A192;1
427;4;28;A34;A43;2743;1;5;4;A93;A101;2;A123;29;A143;A152;2;A173;1;A191;1
428;4;18;A34;A43;1149;4;3;4;A93;A101;3;A121;46;A143;A152;2;A173;1;A191;1
429;4;9;A32;A42;1313;1;5;1;A93;A101;4;A123;20;A143;A152;1;A173;1;A191;1
430;1;18;A34;A45;1190;1;1;2;A92;A101;4;A124;55;A143;A153;3;A171;2;A191;2
431;4;5;A32;A49;3448;1;4;1;A93;A101;4;A121;74;A143;A152;1;A172;1;A191;1
432;2;24;A32;A41;11328;1;3;2;A93;A102;3;A123;29;A141;A152;2;A174;1;A192;2
433;1;6;A34;A42;1872;1;1;4;A93;A101;4;A124;36;A143;A153;3;A174;1;A192;1
434;4;24;A34;A45;2058;1;3;4;A91;A101;2;A121;33;A143;A152;2;A173;1;A192;1
435;1;9;A32;A42;2136;1;3;3;A93;A101;2;A121;25;A143;A152;1;A173;1;A191;1
436;2;12;A32;A43;1484;0;3;2;A94;A101;1;A121;25;A143;A152;1;A173;1;A192;2
437;4;6;A32;A45;660;3;4;2;A94;A101;4;A121;23;A143;A151;1;A172;1;A191;1
438;4;24;A34;A40;1287;4;5;4;A92;A101;4;A121;37;A143;A152;2;A173;1;A192;1
439;1;42;A34;A45;3394;1;1;4;A93;A102;4;A123;65;A143;A152;2;A171;1;A191;1
440;3;12;A31;A49;609;1;2;4;A92;A101;1;A121;26;A143;A152;1;A171;1;A191;2
441;4;12;A32;A40;1884;1;5;4;A93;A101;4;A123;39;A143;A152;1;A174;1;A192;1
442;1;12;A32;A42;1620;1;3;2;A92;A102;3;A122;30;A143;A152;1;A173;1;A191;1
443;2;20;A33;A41;2629;1;3;2;A93;A101;3;A123;29;A141;A152;2;A173;1;A192;1
444;4;12;A32;A46;719;1;5;4;A93;A101;4;A123;41;A141;A152;1;A172;2;A191;2
445;2;48;A34;A42;5096;1;3;2;A92;A101;3;A123;30;A143;A152;1;A174;1;A192;2
446;4;9;A34;A46;1244;0;5;4;A92;A101;4;A122;41;A143;A151;2;A172;1;A191;1
447;1;36;A32;A40;1842;1;2;4;A92;A101;4;A123;34;A143;A152;1;A173;1;A192;2
448;2;7;A32;A43;2576;1;3;2;A93;A103;2;A121;35;A143;A152;1;A173;1;A191;1
449;3;12;A32;A42;1424;0;5;3;A92;A101;4;A121;55;A143;A152;1;A174;1;A192;1
450;2;15;A33;A45;1512;4;3;3;A94;A101;3;A122;61;A142;A152;2;A173;1;A191;2
451;4;36;A34;A41;11054;0;3;4;A93;A101;2;A123;30;A143;A152;1;A174;1;A192;1
452;4;6;A32;A43;518;1;3;3;A92;A101;1;A121;29;A143;A152;1;A173;1;A191;1
453;4;12;A30;A42;2759;1;5;2;A93;A101;4;A122;34;A143;A152;2;A173;1;A191;1
454;4;24;A32;A41;2670;1;5;4;A93;A101;4;A123;35;A143;A152;1;A174;1;A192;1
455;1;24;A32;A40;4817;1;4;2;A93;A102;3;A122;31;A143;A152;1;A173;1;A192;2
456;4;24;A32;A41;2679;1;2;4;A92;A101;1;A124;29;A143;A152;1;A174;1;A192;1
457;1;11;A34;A40;3905;1;3;2;A93;A101;2;A121;36;A143;A151;2;A173;2;A191;1
458;1;12;A32;A41;3386;1;5;3;A93;A101;4;A124;35;A143;A153;1;A173;1;A192;2
459;1;6;A32;A44;343;1;2;4;A92;A101;1;A121;27;A143;A152;1;A173;1;A191;1
460;4;18;A32;A43;4594;1;2;3;A93;A101;2;A123;32;A143;A152;1;A173;1;A192;1
461;1;36;A32;A42;3620;1;3;1;A93;A103;2;A122;37;A143;A152;1;A173;2;A191;1
462;1;15;A32;A40;1721;1;2;2;A93;A101;3;A121;36;A143;A152;1;A173;1;A191;1
463;2;12;A32;A42;3017;1;2;3;A92;A101;1;A121;34;A143;A151;1;A174;1;A191;1
464;2;12;A32;A48;754;0;5;4;A93;A101;4;A122;38;A143;A152;2;A173;1;A191;1
465;4;18;A32;A49;1950;1;4;4;A93;A101;1;A123;34;A142;A152;2;A173;1;A192;1
466;1;24;A32;A41;2924;1;3;3;A93;A103;4;A124;63;A141;A152;1;A173;2;A192;1
467;1;24;A33;A43;1659;1;2;4;A92;A101;2;A123;29;A143;A151;1;A172;1;A192;2
468;4;48;A33;A43;7238;0;5;3;A93;A101;3;A123;32;A141;A152;2;A173;2;A191;1
469;4;33;A33;A49;2764;1;3;2;A92;A101;2;A123;26;A143;A152;2;A173;1;A192;1
470;4;24;A33;A41;4679;1;4;3;A93;A101;3;A123;35;A143;A152;2;A172;1;A192;1
471;2;24;A32;A43;3092;2;2;3;A94;A101;2;A123;22;A143;A151;1;A173;1;A192;2
472;1;6;A32;A46;448;1;2;4;A92;A101;4;A122;23;A143;A152;1;A173;1;A191;2
473;1;9;A32;A40;654;1;3;4;A93;A101;3;A123;28;A143;A152;1;A172;1;A191;2
474;4;6;A32;A48;1238;0;1;4;A93;A101;4;A122;36;A143;A152;1;A174;2;A192;1
475;2;18;A34;A43;1245;1;3;4;A94;A101;2;A123;33;A143;A152;1;A173;1;A191;2
476;1;18;A30;A42;3114;1;2;1;A92;A101;4;A122;26;A143;A151;1;A173;1;A191;2
477;4;39;A32;A41;2569;3;3;4;A93;A101;4;A123;24;A143;A152;1;A173;1;A191;1
478;3;24;A32;A43;5152;1;4;4;A93;A101;2;A123;25;A141;A152;1;A173;1;A191;1
479;2;12;A32;A49;1037;2;4;3;A93;A101;4;A121;39;A143;A152;1;A172;1;A191;1
480;1;15;A34;A42;1478;1;5;4;A93;A101;4;A123;44;A143;A152;2;A173;2;A192;1
481;2;12;A34;A43;3573;1;3;1;A92;A101;1;A121;23;A143;A152;1;A172;1;A191;1
482;2;24;A32;A40;1201;1;2;4;A93;A101;1;A122;26;A143;A152;1;A173;1;A191;1
483;1;30;A32;A42;3622;4;5;4;A92;A101;4;A122;57;A143;A151;2;A173;1;A192;1
484;4;15;A33;A42;960;4;4;3;A92;A101;2;A122;30;A143;A152;2;A173;1;A191;1
485;4;12;A34;A40;1163;3;3;4;A93;A101;4;A121;44;A143;A152;1;A173;1;A192;1
486;2;6;A33;A40;1209;1;1;4;A93;A101;4;A122;47;A143;A152;1;A174;1;A192;2
487;4;12;A32;A43;3077;1;3;2;A93;A101;4;A123;52;A143;A152;1;A173;1;A192;1
488;4;24;A32;A40;3757;1;5;4;A92;A102;4;A124;62;A143;A153;1;A173;1;A192;1
489;4;10;A32;A40;1418;2;3;3;A93;A101;2;A121;35;A143;A151;1;A172;1;A191;1
490;4;6;A32;A40;3518;1;3;2;A93;A103;3;A122;26;A143;A151;1;A173;1;A191;1
491;4;12;A34;A43;1934;1;5;2;A93;A101;2;A124;26;A143;A152;2;A173;1;A191;1
492;2;27;A30;A49;8318;1;5;2;A92;A101;4;A124;42;A143;A153;2;A174;1;A192;2
493;4;6;A34;A43;1237;2;3;1;A92;A101;1;A122;27;A143;A152;2;A173;1;A191;1
494;2;6;A32;A43;368;0;5;4;A93;A101;4;A122;38;A143;A152;1;A173;1;A191;1
495;1;12;A34;A40;2122;1;3;3;A93;A101;2;A121;39;A143;A151;2;A172;2;A191;1
496;1;24;A32;A42;2996;0;3;2;A94;A101;4;A123;20;A143;A152;1;A173;1;A191;2
497;2;36;A32;A42;9034;2;2;4;A93;A102;1;A124;29;A143;A151;1;A174;1;A192;2
498;4;24;A34;A42;1585;1;4;4;A93;A101;3;A122;40;A143;A152;2;A173;1;A191;1
499;2;18;A32;A43;1301;1;5;4;A94;A103;2;A121;32;A143;A152;1;A172;1;A191;1
500;3;6;A34;A40;1323;2;5;2;A91;A101;4;A123;28;A143;A152;2;A173;2;A192;1
501;1;24;A32;A40;3123;1;2;4;A92;A101;1;A122;27;A143;A152;1;A173;1;A191;2
502;1;36;A32;A41;5493;1;5;2;A93;A101;4;A124;42;A143;A153;1;A173;2;A191;1
503;3;9;A32;A43;1126;2;5;2;A91;A101;4;A121;49;A143;A152;1;A173;1;A191;1
504;2;24;A34;A43;1216;2;2;4;A93;A101;4;A124;38;A141;A152;2;A173;2;A191;2
505;1;24;A32;A40;1207;1;2;4;A92;A101;4;A122;24;A143;A151;1;A173;1;A191;2
506;4;10;A32;A40;1309;0;3;4;A93;A103;4;A122;27;A143;A152;1;A172;1;A191;2
507;3;15;A34;A41;2360;3;3;2;A93;A101;2;A123;36;A143;A152;1;A173;1;A192;1
508;2;15;A31;A40;6850;2;1;1;A93;A101;2;A122;34;A143;A152;1;A174;2;A192;2
509;4;24;A32;A43;1413;1;3;4;A94;A101;2;A122;28;A143;A152;1;A173;1;A191;1
510;4;39;A32;A41;8588;2;5;4;A93;A101;2;A123;45;A143;A152;1;A174;1;A192;1
511;1;12;A32;A40;759;1;4;4;A93;A101;2;A121;26;A143;A152;1;A173;1;A191;2
512;4;36;A32;A41;4686;1;3;2;A93;A101;2;A124;32;A143;A153;1;A174;1;A192;1
513;3;15;A32;A49;2687;1;4;2;A93;A101;4;A122;26;A143;A151;1;A173;1;A192;1
514;2;12;A33;A43;585;1;3;4;A94;A102;4;A121;20;A143;A151;2;A173;1;A191;1
515;4;24;A32;A40;2255;0;2;4;A93;A101;1;A122;54;A143;A152;1;A173;1;A191;1
516;1;6;A34;A40;609;1;4;4;A92;A101;3;A122;37;A143;A152;2;A173;1;A191;1
517;1;6;A34;A40;1361;1;2;2;A93;A101;4;A121;40;A143;A152;1;A172;2;A191;1
518;4;36;A34;A42;7127;1;2;2;A92;A101;4;A122;23;A143;A151;2;A173;1;A192;2
519;1;6;A32;A40;1203;2;5;3;A93;A101;2;A122;43;A143;A152;1;A173;1;A192;1
520;4;6;A34;A43;700;0;5;4;A93;A101;4;A124;36;A143;A153;2;A173;1;A191;1
521;4;24;A34;A45;5507;1;5;3;A93;A101;4;A124;44;A143;A153;2;A173;1;A191;1
522;1;18;A32;A43;3190;1;3;2;A92;A101;2;A121;24;A143;A152;1;A173;1;A191;2
523;1;48;A30;A42;7119;1;3;3;A93;A101;4;A124;53;A143;A153;2;A173;2;A191;2
524;4;24;A32;A41;3488;2;4;3;A92;A101;4;A123;23;A143;A152;1;A173;1;A191;1
525;2;18;A32;A43;1113;1;3;4;A92;A103;4;A121;26;A143;A152;1;A172;2;A191;1
526;2;26;A32;A41;7966;1;2;2;A93;A101;3;A123;30;A143;A152;2;A173;1;A191;1
527;4;15;A34;A46;1532;2;3;4;A92;A101;3;A123;31;A143;A152;1;A173;1;A191;1
528;4;4;A34;A43;1503;1;4;2;A93;A101;1;A121;42;A143;A152;2;A172;2;A191;1
529;1;36;A32;A43;2302;1;3;4;A91;A101;4;A123;31;A143;A151;1;A173;1;A191;2
530;1;6;A32;A40;662;1;2;3;A93;A101;4;A121;41;A143;A152;1;A172;2;A192;1
531;2;36;A32;A46;2273;1;4;3;A93;A101;1;A123;32;A143;A152;2;A173;2;A191;1
532;2;15;A32;A40;2631;2;3;2;A92;A101;4;A123;28;A143;A151;2;A173;1;A192;2
