id;age;income;seniority;nbpoints;nbproducts;nbpurchases;usecredit;changeconsum;subscription;subscription2;response
1370;43;2039.01;21;2;14;38;106.71;0.93;1606.23;24.52;N
1371;33;95.2;17;0;5;3;0;0.8;0;0;N
1372;41;1500.79;13;1;3;42;0;1.5;0;0;N
1373;36;1724.22;10;3;11;89;0;1.44;0;0;N
1374;46;430.95;13;0;4;1;0;0.75;0;0;N
1375;43;1565.3;20;1;10;27;0;1.22;0;0;N
1376;46;2316.14;21;1;6;49;0;1;0;0;N
1377;38;3438.88;21;2;18;45;60.98;1;442.13;84.54;N
1378;46;4143.36;18;3;13;94;308.87;1;427.38;88.76;N
1379;47;548.09;21;0;9;9;654.86;0.89;0;0;N
1380;56;1311.86;21;1;18;26;0;1.12;0;31.73;O
1381;41;0;22;0;2;1;0;1;0;0;N
1382;43;5687.88;25;3;14;41;91.47;1.42;1715.8;0;N
1383;39;1091.34;22;2;9;20;91.47;1;3013.21;0;N
1384;36;2247.25;20;1;12;48;0;1;0;120.32;N
1385;41;1644.21;18;1;11;22;0;1;0;0;N
1386;44;36.78;13;1;5;2;0;1;0;27.47;N
1387;40;2683.67;21;2;15;51;0;1.07;0;64.16;N
1388;38;2494.56;18;1;7;59;0;0.75;0;0;N
1389;37;2502.7;19;2;9;70;13.36;1;178.98;0;N
1390;41;1770.82;18;1;12;23;0;1;0;0;N
1391;35;4295.43;16;3;11;99;137.2;1.44;3131.74;0;N
1392;39;2440.3;21;1;8;51;0;1;0;0;N
1393;41;638.25;21;1;13;15;0;1.08;0;77.63;N
1394;45;640.17;21;1;6;12;0;1;0;0;N
1395;45;0;15;0;10;1;0;1;0;0;N
1396;45;845.66;14;1;5;37;0;1;0;0;N
1397;44;2847.68;21;1;10;55;0;0.9;0;35.76;N
1398;48;2565.94;14;1;4;28;0;1.33;0;0;N
1399;40;3646.06;21;3;9;60;91.47;1;2926.31;0;N
1400;47;326.01;20;0;1;6;0;1;0;0;N
1401;46;3111.09;16;1;7;56;0;1;0;13.15;N
1402;40;1214.58;19;2;9;47;45.73;1;291.24;0;N
1403;43;1208.19;14;1;6;20;0;2.67;0;0;N
1404;35;3563.61;14;1;4;60;0;1;0;0;N
1405;38;3050.25;21;2;19;37;0;1.47;0;76.12;O
1406;35;938.84;17;3;11;33;91.47;1.1;2483.52;42.23;N
1407;40;4313.66;16;2;14;49;0;1;0;82.61;N
1408;36;1977.33;20;2;10;48;0;1;0;51.68;N
1409;48;2798.98;15;2;17;67;46.87;1.13;696.09;71.23;N
1410;41;412.88;17;1;3;3;0;1;0;0;N
1411;35;1617.02;10;1;6;38;0;1;0;0;N
1412;54;419.59;10;1;5;38;0;1;0;8.11;N
1413;38;4435.64;9;1;10;78;0;0.9;0;0;N
1414;37;973.98;16;1;8;34;0;1;0;0;N
1415;49;0;20;0;3;1;0;1.5;0;10.05;N
1416;45;2302.78;19;2;8;61;199.28;1;7600.83;41.52;N
1417;42;4289.28;21;1;14;72;68.13;1;0;70.79;O
1418;41;1919.15;21;2;7;37;71.18;1;149.59;0;N
1419;39;3291.28;16;2;15;57;1.02;1.5;0;55.45;N
1420;40;2942.84;21;1;10;58;0;1.22;0;47.95;N
1421;43;2698.71;21;1;5;58;0;1;0;0;N
1422;52;132.18;29;0;3;9;0;0.67;0;0;N
1423;43;2918.99;21;2;20;61;0;1;0;78.97;N
1424;41;1176.29;21;1;8;62;0;0.88;0;40.99;N
1425;46;304.39;15;1;9;10;0;1.43;0;0;N
1426;34;2867.64;21;2;10;79;60.98;1.11;970.72;0;N
1427;45;3174.63;16;2;17;51;0;1.19;0;45.48;N
1428;33;2795.93;17;1;8;60;0;1;0;0;N
1429;41;1596.82;21;2;8;25;60.98;0.88;1490.38;0;N
1430;42;45.57;21;0;3;3;0;1;0;0;N
1431;43;2167.2;24;1;5;31;0;1;0;27.2;N
1432;47;2825.06;20;3;15;42;28.56;1;392.8;91.14;N
1433;33;116.61;13;0;1;4;0;1;0;0;N
1434;40;2913.46;20;2;7;66;58.44;1;1337.3;0;N
1435;33;328.97;14;0;2;6;0;0.5;0;0;N
1436;39;1960.93;11;3;10;59;1.36;3;0;0;O
1437;37;4683.64;11;2;11;57;0;1.2;0;1.47;N
1438;36;4011.23;7;2;10;19;0;1;0;4.41;N
1439;34;2548.95;15;1;12;46;0;1;0;17.95;N
1440;65;1076.15;32;2;14;31;0;0.93;0;92.63;N
1441;40;3210.75;14;3;14;48;6.77;1.55;19.6;70.4;N
1442;41;4191.84;21;1;15;59;0;1.23;0;0;N
1443;67;2063.36;18;3;11;30;0;1;0;143.28;N
1444;42;2777.22;16;3;9;69;0;1;0;0;N
1445;33;1175.37;17;1;10;32;219.96;1.86;127.04;33.33;N
1446;39;4758.05;21;2;7;51;0;1.17;0;0;N
1447;35;2883.24;15;2;8;41;0;1;0;0;N
1448;36;2923.03;9;2;11;63;0;1.75;0;0;O
1449;38;3872.94;9;1;11;81;0;0.91;0;0;N
1450;36;1757.86;7;1;14;27;0;1;0;0;N
1451;54;2768.71;7;2;7;39;0;1.17;0;50.83;O
1452;49;13031.58;21;0;15;59;0;1;0;131.62;N
1453;36;3248.94;14;3;15;72;60.98;1.31;1213.5;60.37;N
1454;72;1173.24;21;1;16;10;0;1;0;62.67;N
1455;62;2132.19;25;1;13;38;0;0.92;0;87.87;N
1456;45;2040.64;21;2;8;52;0;1.67;0;0;O
1457;40;69.99;21;0;2;6;0;1;0;0;N
1458;42;3906.29;23;3;9;59;38.11;0.89;1106.72;0;N
1459;45;2135.94;21;1;5;52;0;1;0;0;N
1460;39;1591.11;21;1;4;38;0;1;0;0;N
1461;44;417.12;21;2;6;6;39.2;1;1114.42;0;N
1462;45;3085.69;21;1;7;61;0;1.17;0;0;N
1463;38;2202.69;9;3;10;51;1.02;1.5;0;0;N
1464;33;2248.64;14;2;14;65;0;1.23;0;0;N
1465;37;2428.96;15;2;17;64;0;1.2;0;0;N
1466;43;1169;21;1;18;21;0;1;0;45.06;N
1467;38;1936.28;13;1;4;34;0;1;0;0;N
1468;30;915.62;13;0;6;26;0;1;0;0;N
1469;37;682.19;16;1;8;20;0;1;0;0;N
1470;33;316.44;16;0;5;5;0;1;0;0;N
1471;45;4198.46;21;2;12;53;0;0.92;0;0;N
1472;43;4071.9;10;2;13;53;0;1;0;0;N
1473;42;2411.56;20;2;7;63;56.66;1.33;857.12;0;N
1474;44;143.49;24;0;4;7;0;1;0;0;N
1475;47;3926.57;21;3;13;87;70.63;1.5;2125.77;4.97;N
1476;40;920.53;22;1;2;10;0;1;0;0;N
1477;44;1548.92;25;1;4;40;0;1;0;0;N
1478;43;2228.35;14;3;13;54;86.98;1;2729.47;0;O
1479;42;1378.16;21;2;17;47;214.52;1.06;7599.16;153.95;O
1480;44;2224.59;21;1;9;62;0;1;0;72.42;O
1481;35;3765.46;9;1;9;65;0;1;0;0;N
1482;47;1735.91;17;1;11;28;0;1.33;0;0;N
1483;36;2849;9;2;6;72;0;0.83;0;0;N
1484;43;1781.93;24;1;4;49;0;1;0;0;N
1485;59;1486.9;21;4;20;57;91.47;1.08;2814.79;44.41;O
1486;42;1504.1;21;1;6;58;0;1;0;37.98;N
1487;43;238.88;16;0;5;3;0;1;0;0;N
1488;33;2948.3;18;2;9;70;46.04;1;708.47;10.6;N
1489;40;2200.52;22;1;3;51;0;1;0;0;N
1490;37;4499.27;19;1;13;76;0;1;0;111.25;N
1491;34;2099.21;12;1;14;47;0;1;0;0;O
1492;43;749.29;22;0;3;17;0;1;0;0;N
1493;68;1253.47;14;1;9;29;0;1;0;109.12;N
1494;32;4675.66;16;2;12;60;0;1;0;17.93;N
1495;42;2318.13;21;1;13;46;0;1.08;0;0;N
1496;38;3159.72;21;2;20;69;0;1;0;33.32;N
1497;45;1940;20;1;15;35;0;1.23;0;0;N
1498;42;5480.59;23;3;13;56;288.77;1;2377.74;0;O
1499;43;2224.15;22;2;11;61;437.54;1.75;513.22;57.94;O
1500;40;2997.73;21;3;16;62;0;0.94;0;94.53;N
1501;40;210.5;10;1;7;6;0;1;0;0;N
1502;46;1410.51;15;1;4;31;0;1;0;0;N
1503;40;526.26;5;1;8;31;0;1;0;0;N
1504;36;1739.93;15;3;19;64;38.76;1.11;277.79;51.01;O
1505;46;1734.8;14;2;9;43;2.03;1.83;0;0;N
1506;40;1729.62;14;1;4;48;0;1;0;0;N
1507;36;2024.93;21;1;7;51;0;1;0;15.2;O
1508;35;2206.48;21;0;5;67;0;1;0;44.7;N
1509;48;2279.94;27;0;9;36;0;1.13;0;64.34;N
1510;40;2608.12;14;1;11;35;0;0.92;0;0;N
1511;45;1644.49;14;2;9;32;31.25;1.57;438.54;0;O
1512;44;2272.36;14;2;11;76;17.28;1.56;309.94;0;O
1513;43;2537.8;15;1;9;34;0;1;0;0;N
1514;47;89.04;14;0;6;7;0;1.2;0;2.82;N
1515;41;87.22;14;1;11;47;0;1.1;0;0;O
1516;44;1849.8;18;2;9;29;26.68;1;296.57;89.35;N
1517;49;3287.52;14;1;7;38;0;1;0;24.89;N
1518;39;963.39;14;1;14;37;0;1;0;0;N
1519;42;3034.97;18;2;12;46;91.47;1.3;3008.41;134.86;O
1520;40;1702.42;21;0;11;12;0;1;0;7.63;N
1521;50;1833.71;19;2;13;47;26.42;0.93;470.86;129.95;O
1522;37;2674.72;12;1;4;69;0;1;0;0;N
1523;35;2255.51;18;0;9;15;0;1;0;0;N
1524;40;2173.85;14;1;8;30;0;1;0;0;N
1525;40;2154.12;14;1;10;36;0;1;0;0;N
1526;45;5871.07;21;2;9;30;0;1;0;0;N
1527;60;403.7;21;0;6;13;0;1;0;57.78;N
1528;44;6312.03;6;2;20;58;0;1.04;0;74.76;N
1529;41;4380.5;16;2;14;54;0;1;0;106.06;N
1530;37;1983.07;19;2;8;36;0;1;0;95.13;N
1531;30;1331.42;11;0;7;20;0;1.17;0;0;N
1532;29;1398.86;12;3;13;74;46.03;0.92;627.51;107.04;N
1533;44;3975.6;16;2;10;38;0;0.9;0;80.02;N
1534;43;792.75;21;2;8;31;0;1;0;0;N
1535;40;3071.69;20;1;7;52;0;1;0;0;N
1536;37;2050.4;13;1;11;77;0;0.91;0;2.21;N
1537;42;67.73;21;0;6;6;0;1;0;0;N
1538;43;3508.98;24;2;15;57;60.98;1.07;1327.85;89.95;N
1539;43;1787.11;15;0;9;27;0;1;0;0;N
1540;42;2515.71;17;3;19;77;244.15;1.64;1296.74;12.27;N
1541;44;11194.8;12;2;9;32;766.69;1.25;6.28;0;N
1542;45;1696.04;16;1;11;46;0;1;0;42.4;N
1543;37;1444.7;12;1;8;21;0;1.14;0;0;N
1544;35;2896.13;11;2;20;57;0;1.1;0;96.67;N
1545;45;0;16;0;3;1;0;1;0;0;N
1546;38;1549.4;20;1;2;27;0;1;0;0;N
1547;75;1212.65;28;1;9;28;91.47;0.89;1548.58;141.68;N
1548;37;2232.52;20;2;12;52;60.98;1;1199;0;N
1549;46;2224.5;21;2;9;30;60.98;1;1390.55;41.47;N
1550;64;2049.34;21;0;11;27;0;0.83;0;60.89;N
1551;38;1343.54;21;1;6;31;0;2.67;0;0;N
1552;43;2014.81;12;2;11;43;0;1.2;0;0;N
1553;68;1103.52;12;1;6;22;0;1;0;115.48;N
1554;45;1104.36;21;1;9;26;0;1.57;0;0;N
1555;40;2669.25;18;1;8;86;0;1;0;0;N
1556;36;1492.2;14;1;7;46;0;0.86;0;53.91;N
1557;44;2036.69;27;2;19;51;0;1.38;0;66.91;O
1558;45;1761.66;27;2;8;46;120.68;1;612.24;0;N
1559;36;126.53;15;0;2;7;0;1;0;0;N
1560;46;2208.61;13;1;6;36;0;1;0;11.31;N
1561;40;739.21;17;2;8;18;92.08;1;1776.48;0;N
1562;38;2298.02;14;1;9;49;0;1;0;0;N
1563;41;159.32;11;2;16;44;0;1.07;0;0;N
1564;41;3830.49;22;1;13;68;0;1.17;0;0;N
1565;42;2405.41;21;1;5;55;0;0.8;0;0;N
1566;43;805.39;18;1;3;19;0;1;0;0;N
1567;45;2399.21;16;2;10;49;252.18;0.9;613.35;0;N
1568;41;151.39;15;0;3;2;0;1;0;0;N
1569;34;2541.79;19;2;15;56;60.98;1;1010.53;18.63;N
1570;45;268.1;13;0;3;2;0;1;0;0;N
1571;36;3500.71;19;1;12;69;0;1.09;0;0;N
1572;35;2546.43;14;1;10;70;91.47;1.22;2292.43;16.59;O
1573;30;1663.34;13;2;14;82;0;1.15;0;94.2;N
1574;46;3183.29;14;2;19;51;0;1;0;110.72;N
1575;43;1725.18;11;2;16;79;0;1.07;0;0;N
1576;41;1856.37;10;2;10;63;76.22;1.38;1475.79;2.87;N
1577;41;1982.88;7;3;17;53;0;1.06;0;0;N
1578;39;7086.16;9;3;20;81;239.07;1.22;1598.54;155.55;O
1579;35;1317.67;18;1;10;35;0;1.63;0;76.75;O
1580;32;5155.54;11;2;9;53;0;1.25;0;0;N
1581;46;513.2;20;1;5;16;0;1.25;0;10.08;N
1582;45;1557.78;21;1;5;21;0;1;0;0;N
1583;44;437.29;21;0;6;16;0;1;0;0;N
1584;44;2720.09;15;2;18;66;0;1.06;0;48.12;N
1585;50;1835.26;21;1;13;49;0;1;0;0;N
1586;45;2930.35;18;2;12;43;60.98;0.92;1245.35;68.31;N
1587;34;2611.82;16;1;7;68;0;1;0;0;N
1588;42;69.97;21;0;4;3;0;1;0;0;N
1589;50;2051.29;19;1;8;45;0;1;0;80.5;N
1590;38;86.96;19;1;4;6;0;1;0;0;N
1591;43;2419.16;21;1;4;26;0;1;0;0;N
1592;48;3316.46;29;2;11;58;0;1.1;0;0;N
1593;37;1362.19;20;1;7;21;0;0.86;0;0;N
1594;46;712.6;14;0;20;20;0;0.96;0;20.67;N
1595;44;1466.98;18;2;8;26;25.78;1;242.08;0;N
1596;42;907.15;16;2;15;34;45.73;1.31;766;106.48;N
1597;41;441.52;21;2;14;45;0;0.93;0;0;O
1598;42;1339.35;20;0;9;25;0;1.13;0;47.34;N
1599;31;1759.36;15;1;8;47;0;1.67;0;0;N
1600;42;1661.2;18;1;9;68;0;1.13;0;0;N
1601;36;2968.86;20;3;17;53;0;0.94;0;0;N
1602;43;5024.67;21;2;18;47;0;1.25;0;19.74;N
1603;44;143.88;15;0;4;4;0;1;0;0;N
1604;47;1204.11;27;2;11;37;0;1.56;0;32.03;O
1605;39;1561.84;21;2;14;51;0;1.42;0;34.75;O
1606;52;1799.69;25;2;11;58;274.82;1.33;8344.62;31.23;O
1607;42;1952.25;21;1;11;44;0;1;0;0;N
1608;40;2786.49;21;2;14;59;60.98;1.25;1094.32;57.79;O
1609;35;2154.15;21;1;6;56;0;1;0;0;N
1610;44;591.28;12;1;8;23;0;1;0;21.96;N
1611;36;1804.89;18;2;14;27;99.09;1.23;952.01;89.43;N
1612;36;1048.45;5;1;3;42;0;1;0;0;N
1613;30;1953.21;16;1;8;62;0;1;0;0;N
1614;39;3179.54;19;1;12;39;0;1;0;129.16;O
1615;45;3096.19;21;1;17;33;0;1.33;0;0;N
1616;42;5598.65;21;3;16;97;0;1.2;0;43.4;O
1617;30;1576.96;15;2;7;50;0;1.33;0;0;N
1618;34;1890.61;19;3;20;56;0;1.5;0;120.86;O
1619;72;1123.04;25;1;12;32;0;1.18;0;121.1;N
1620;40;156.78;21;0;4;1;0;1;0;0;N
1621;42;2685.22;13;1;14;85;0;1.33;0;78.01;N
1622;37;3041.15;21;2;11;73;0;1.2;0;12.94;N
1623;40;3812.71;21;2;10;60;0;1;0;51.78;N
1624;39;1374.22;21;1;4;35;0;1;0;0;N
1625;34;1663.43;16;1;7;57;0;1.17;0;43.81;O
1626;42;1312.05;21;1;6;16;0;1;0;0;N
1627;37;2325.04;18;2;13;64;0;1;0;0;N
1628;39;856.32;9;1;6;15;0;1;0;0;N
1629;36;4374.06;18;3;19;53;0;1.11;0;37.13;N
1630;36;3095.03;9;1;14;75;0;1.55;0;18.66;O
1631;40;1732.53;7;1;9;61;0;1.57;0;0;N
1632;47;1461.57;25;2;14;36;7.62;1.08;177.46;0;O
1633;46;1513.79;17;2;13;26;2.03;1.17;508.33;0;O
1634;46;3281.41;25;1;5;42;0;0.8;0;0;N
1635;38;1903.73;15;3;9;69;81.31;1.43;1821.58;0;N
1636;38;4473.69;21;2;18;71;0;1.57;0;65.54;N
1637;41;1381.42;21;1;18;45;0;1.25;0;55.44;O
1638;44;1527.99;23;1;6;18;0;1;0;18.15;N
1639;39;2685.95;10;2;6;38;0;1.4;0;13.5;N
1640;46;2449.39;23;2;9;55;188.96;1;7558.06;28.68;N
1641;33;2889.88;6;2;9;68;0;1;0;0;N
1642;47;1759.28;24;1;5;43;0;1;0;0;N
1643;42;3459.4;21;2;19;49;0;1;0;74.69;N
1644;35;2222.18;20;2;10;49;0;1;0;0;N
1645;44;779.73;21;2;5;73;0;1;0;0;N
1646;48;3111.18;19;3;10;61;96.3;1.38;414.66;0;N
1647;34;1347.63;15;1;6;31;0;1.75;0;0;N
1648;37;426.21;9;0;4;7;0;1;0;0;N
1649;46;433.8;21;0;4;16;0;1;0;0;N
1650;39;2194.12;10;2;6;52;0;1;0;0;N
1651;40;126.92;21;0;1;7;0;1;0;0;N
1652;43;2369.47;21;1;8;51;0;1;0;16.81;N
1653;41;2620.67;21;2;11;49;0;1;0;97.41;N
1654;47;1048.02;21;1;6;37;61.39;1;1332.36;27.99;N
1655;37;2358.45;21;2;9;49;0;1;0;0;N
1656;37;1622.06;15;2;9;31;60.98;1;665.31;0;N
1657;37;1696.9;12;3;20;38;0;1.04;0;44.64;N
1658;38;2071.99;21;1;14;34;0;1;0;7.28;N
1659;39;1892.59;18;3;10;37;238.83;1.22;1227.24;0;N
1660;32;1545.76;16;1;6;31;0;1;0;0;N
1661;30;2275.5;15;1;9;61;0;1;0;0;N
1662;46;2505.82;29;1;10;51;0;1.11;0;9.24;N
1663;45;1329.2;15;1;14;21;0;1.08;0;0;N
1664;48;828.4;21;1;9;26;0;1.13;0;46.46;N
1665;40;1528.71;12;2;13;59;19.51;1.56;387.27;62.6;N
1666;53;3810.16;21;2;19;86;0.76;1.24;0;123.04;O
1667;45;85.58;14;0;7;3;0;1;0;82.04;N
1668;49;59.78;16;1;7;7;0;1;0;64.14;N
1669;37;1476.25;16;3;17;57;168.96;1.54;4785.58;20.69;O
1670;46;3715.13;14;1;2;97;0;1;0;0;N
1671;38;0;16;1;5;1;0;1;0;0;N
1672;47;1420.12;16;2;7;50;4.07;1.6;102.94;0;N
1673;43;3730.99;16;4;14;44;202.02;1.15;2545.21;0;N
1674;47;2446.75;12;3;14;30;0;1;0;0;O
1675;44;2085.62;12;3;11;64;16.26;1.44;481.8;0;N
1676;44;1410.62;14;2;11;65;10.73;1;14.99;24.26;N
1677;36;617.27;10;2;5;42;60.98;1;1491.87;0;N
1678;46;905.4;24;2;5;27;0;1;0;0;N
1679;38;1600.71;13;2;11;47;0;1.44;0;0;N
1680;42;1752.26;20;1;10;41;0;1.11;0;0;N
1681;40;2733.06;21;1;13;61;0;1.08;0;40.61;O
1682;36;3011.55;20;1;12;33;0;1.08;0;0;N
1683;40;1212.06;22;2;7;30;317.51;1.17;2443.51;5.23;O
1684;40;2258.27;12;3;11;74;91.47;1.2;2695.16;31.04;N
1685;34;2213.79;10;2;8;56;0;2;0;0;N
1686;54;2082.79;21;2;12;42;0;1;0;0;N
1687;39;3258.22;21;3;17;61;83.15;1.13;225.71;57.53;O
1688;40;3330.31;21;1;16;56;0;1;0;88.19;O
1689;40;2094.21;21;1;9;44;0;1;0;0;O
1690;45;2792.66;15;2;19;61;0;0.95;0;79.36;N
1691;46;1517.36;21;2;7;54;0;1;0;15.51;O
1692;40;1941.02;21;2;13;72;0;0.92;0;0;N
1693;43;3358.9;21;3;12;89;111.8;1.09;1132.09;61.89;N
1694;46;2036.17;18;2;11;50;4.76;1.09;3.86;48.07;O
1695;48;2212.52;21;0;8;22;0;1;0;0;N
1696;41;1707.85;21;1;6;45;0;1;0;0;N
1697;36;3614.09;16;2;8;52;0;1.29;0;0;N
1698;41;2845.22;22;1;7;44;0;1;0;78.16;N
1699;47;1779.76;27;1;7;30;0;1.6;0;0;N
1700;40;1711.06;21;2;10;24;0;0.9;0;53.95;N
1701;49;4445.71;20;1;4;52;0;1;0;0;N
1702;41;2398.31;23;1;4;65;0;1;0;0;N
1703;42;2609.53;20;1;10;60;0;0.9;0;21.07;N
1704;44;177.98;15;2;13;33;81.91;0.92;673.42;91.02;N
1705;40;1226.14;19;1;8;21;0;1;0;0;N
1706;48;1704.46;28;1;7;40;0;0.86;0;26.87;N
1707;44;424.36;23;1;5;13;0;0.8;0;0;N
1708;37;223.44;20;2;14;50;0;1.15;0;69.87;N
1709;49;829.11;20;2;10;46;0;1;0;120.68;N
1710;32;2380.21;17;2;11;29;99.09;1;1281.6;68.1;N
1711;35;473.33;16;1;2;19;0;1;0;0;N
1712;40;1091.21;12;2;15;34;214.85;0.93;1118.07;80.81;O
1713;48;2317.82;21;2;9;26;0;1;0;0;N
1714;50;1372.61;21;2;11;33;10.06;1.44;134.04;32.98;O
1715;42;1405.89;15;0;12;42;0;1;0;66.27;N
1716;47;216.89;19;3;11;23;137.2;1;4193.89;0;N
1717;38;299.96;11;2;16;12;0;1;0;80.41;O
1718;46;905.55;24;0;2;27;0;1;0;0;N
1719;43;2746.95;21;1;6;53;0;1;0;0;N
1720;44;4042.5;6;1;15;65;0;0.93;0;86.74;N
1721;43;3691.18;21;2;15;65;0;1.38;0;104.22;O
1722;31;1034.8;13;2;8;39;85.12;0.78;921.6;9.65;N
1723;45;560.54;19;1;3;29;0;1;0;0;N
1724;49;645.23;21;2;8;36;0;1.14;0;0;N
1725;49;2787.86;27;3;10;74;0;1.11;0;43.37;N
1726;52;3872.9;21;2;17;43;1.02;1.43;0;14.03;O
1727;33;56.05;15;0;2;3;0;0.5;0;0;N
1728;44;2634.91;15;1;4;50;0;0.8;0;0;N
1729;41;1488.42;9;2;7;65;45.73;1;751.4;6.47;N
1730;39;1495.75;17;2;10;71;0;1.11;0;15.33;N
1731;34;0.07;17;2;5;3;0;0.8;0;0;N
1732;36;3071.32;8;1;4;82;0;1;0;0;O
1733;35;2338.43;17;1;7;68;0;0.86;0;0;N
1734;32;2064.59;18;1;12;53;0;1.18;0;0;N
1735;43;3002.73;24;1;8;45;0;1;0;0;N
1736;35;73.18;18;0;1;1;0;1;0;0;N
1737;41;1163.97;21;1;7;40;0;1;0;0;N
1738;35;3961.86;18;3;12;34;194.38;1.18;185.19;13.98;N
1739;38;1261.61;21;1;10;19;0;1;0;0;N
1740;40;2084.48;21;2;14;71;24.74;1.15;17.81;118.98;O
1741;37;1503.41;20;1;8;28;0;0.67;0;0;N
1742;45;2752.77;18;2;10;65;76.22;1.22;1799.85;3.2;N
1743;49;3279.55;19;3;14;102;118.14;1.33;3444.47;19.81;N
1744;38;2153.97;20;1;11;35;0;1.44;0;25.45;N
1745;35;1518.65;13;1;5;66;0;1;0;0;N
1746;39;1758.57;12;1;5;36;0;1;0;0;N
1747;37;2603.1;21;2;8;64;424.16;1.14;1389.44;31.2;N
1748;37;3598.1;16;2;8;100;1.22;1.83;127.04;0;O
1749;43;3094.07;24;2;9;50;0;1;0;0;N
1750;43;1939.62;24;1;7;57;0;0.86;0;0;N
1751;40;2787.22;20;2;17;48;0;1;0;0;N
1752;44;1996.72;24;2;13;58;27.72;1.17;396.71;51.34;N
1753;45;137.55;21;0;2;4;0;1;0;0;N
1754;35;1667.25;19;3;9;18;0;1.13;0;0;N
1755;42;1246.61;13;0;10;21;0;1.11;0;0;N
1756;49;1193.78;12;1;8;34;0;0.78;0;69.6;N
1757;46;1212.61;21;0;5;21;0;1;0;0;N
1758;43;1775.26;18;1;10;30;0;1;0;73.1;O
1759;57;266.21;29;0;5;10;0;1;0;47.15;N
1760;38;398.59;21;1;5;15;0;1;0;0;N
1761;44;1918.05;21;1;17;45;0;0.94;0;85.96;N
1762;44;4161.19;20;2;16;51;0;1;0;127.88;N
1763;40;2183.64;21;2;13;33;0;1.36;0;31.76;O
1764;46;3064.77;14;3;14;51;40.37;1.45;1128.72;109.99;O
1765;39;3355.25;21;2;20;37;0;1.14;0;79.55;N
1766;43;1056.7;24;1;3;26;0;1;0;0;N
1767;39;175.62;12;0;7;4;0;1;0;0;N
1768;31;1312.52;12;1;4;21;0;1;0;0;N
1769;35;4629.69;18;2;20;54;0;1.11;0;101.66;N
1770;36;2694.34;18;3;9;48;283.61;1;641.03;0;N
1771;37;3238.62;18;2;14;63;60.98;1;1242.97;167.45;N
1772;32;785.95;16;3;13;43;28.06;1;65.36;4.29;N
1773;39;2673.67;18;2;11;59;0;1;0;62.16;N
1774;37;2878.46;18;2;15;43;224.87;1;228.16;70.35;N
1775;36;3219.46;19;2;10;101;0;1;0;0;N
1776;45;4600.27;20;1;14;49;0;0.93;0;38.04;N
1777;45;1905.13;20;4;19;85;213.81;1.64;5495.41;98.26;O
1778;45;5507.81;25;2;8;60;0;1;0;0;N
1779;44;1344.29;17;1;5;20;0;1;0;0;N
1780;33;2174.36;19;3;16;86;53.35;1.29;465.02;0;N
1781;42;2180.48;18;2;20;45;133.56;1.05;824.1;84.64;O
1782;44;352.13;21;0;3;9;0;0.67;0;92.46;N
1783;47;2274.03;18;1;11;46;0;1.33;0;56.61;N
1784;39;3157.35;19;1;9;29;0;0.89;0;0;N
1785;37;1863.84;18;3;11;49;126.81;1.2;246.6;0;O
1786;40;495.46;15;0;2;6;0;1;0;0;N
1787;37;2122.8;13;1;9;48;0;1.43;0;0;N
1788;43;11972.91;13;2;20;76;0;1.21;0;71.43;N
1789;32;1058.55;10;1;6;45;0;1.2;0;0;N
1790;33;965.86;9;1;11;44;0;1.09;0;98.2;N
1791;37;3038.74;18;2;13;45;0;1.25;0;36.55;N
1792;39;725.31;17;1;4;25;0;1;0;0;N
1793;46;3915.97;21;2;11;61;0;1.33;0;0;N
1794;53;1340.06;8;1;6;11;0;1;0;0;N
1795;31;1828.41;12;2;8;70;0;1.29;0;0;N
1796;44;2942.45;7;2;5;61;62.41;1;1510.8;0;N
1797;36;897.79;21;1;3;24;0;1;0;22.83;N
1798;40;1102.82;21;1;11;24;0;1;0;0;N
1799;46;1406.86;21;1;10;61;0;1;0;0;N
1800;56;1353.08;22;3;18;12;0;1.77;6483.21;44.97;N
1801;35;2480.99;20;2;9;39;0;1.11;0;41.64;N
1802;38;2960.87;16;2;9;34;0;1;0;71.04;O
1803;40;2360.97;21;2;10;46;0;1;0;0;N
1804;35;76.22;14;0;2;3;0;1;0;0;N
1805;46;108.49;19;0;5;1;;1;0;0;N
1806;43;2210.67;21;2;17;70;0;1.2;0;0;O
1807;46;4527.05;12;2;14;43;0;0.93;0;85.33;N
1808;41;2434.84;11;1;3;65;0;1;0;0;N
1809;46;970;21;1;8;25;0;1;0;49.28;O
1810;49;1715.63;21;2;9;46;11.74;1.83;218.49;0;O
1811;39;2473.74;21;2;11;39;0;1.44;0;50.36;N
1812;34;3114.44;16;2;10;52;0;1;0;69.9;N
1813;30;2186.58;12;2;11;65;94.31;1;538.61;68.72;N
1814;29;1514.07;12;1;9;60;0;0.89;0;0;N
1815;49;79.51;12;0;3;1;;1;0;0;N
1816;37;1854.43;12;2;9;50;0;1;0;0;N
1817;41;2356.12;14;1;13;50;0;0.92;0;77.54;N
1818;39;2046.43;14;1;10;46;0;1;0;16.19;O
1819;40;540.39;21;1;6;15;0;1.2;0;0;N
1820;33;2146.56;14;1;10;51;0;1;0;0;N
1821;33;3227.34;18;3;14;73;774.6;1;4823.41;0;O
1822;38;2960.31;14;1;17;56;1.02;1.36;0;66.18;O
1823;48;1059.31;21;2;14;22;1.52;1.08;127;117.69;O
