income;logincome;sqrtincome
1077.77;6.98;32.83
2625.32;7.87;51.24
813.78;6.7;28.53
791.28;6.67;28.13
1497.77;7.31;38.7
619.93;6.43;24.9
629.33;6.45;25.09
1356.76;7.21;36.83
941.29;6.85;30.68
679.29;6.52;26.06
548.16;6.31;23.41
962.32;6.87;31.02
835.15;6.73;28.9
832.63;6.73;28.86
2865.56;7.96;53.53
1166.81;7.06;34.16
1946.59;7.57;44.12
1936.33;7.57;44
960.34;6.87;30.99
610.9;6.42;24.72
879.38;6.78;29.65
1478.55;7.3;38.45
1364.51;7.22;36.94
3452.85;8.15;58.76
165.67;5.12;12.87
3267.79;8.09;57.16
269.82;5.6;16.43
30.12;3.44;5.49
1028.99;6.94;32.08
1097.88;7;33.13
1267.44;7.15;35.6
1266.38;7.14;35.59
642.87;6.47;25.35
550.7;6.31;23.47
1241.7;7.13;35.24
730.17;6.59;27.02
1110.9;7.01;33.33
749.85;6.62;27.38
1441.98;7.27;37.97
2157.79;7.68;46.45
928.91;6.84;30.48
1214.27;7.1;34.85
1057.33;6.96;32.52
1508.66;7.32;38.84
535.96;6.29;23.15
579.25;6.36;24.07
1608.64;7.38;40.11
198.02;5.29;14.07
1761.29;7.47;41.97
1215.62;7.1;34.87
584.59;6.37;24.18
1051.15;6.96;32.42
566.73;6.34;23.81
1565.42;7.36;39.57
275.76;5.62;16.61
838.09;6.73;28.95
1688.87;7.43;41.1
1733.04;7.46;41.63
1130.53;7.03;33.62
2345.26;7.76;48.43
2010.38;7.61;44.84
1094.21;7;33.08
306.78;5.73;17.52
1469.89;7.29;38.34
2182.7;7.69;46.72
1249.84;7.13;35.35
1392.72;7.24;37.32
883.56;6.79;29.72
1052.63;6.96;32.44
1896.99;7.55;43.55
1148.87;7.05;33.9
1599.69;7.38;40
2968.71;8;54.49
1480.09;7.3;38.47
1841.28;7.52;42.91
1802.58;7.5;42.46
639.13;6.46;25.28
940.71;6.85;30.67
1282.99;7.16;35.82
1806.7;7.5;42.51
1345.3;7.21;36.68
1096.04;7;33.11
1007.6;6.92;31.74
1456.51;7.28;38.16
1078.71;6.98;32.84
1188.86;7.08;34.48
1393.08;7.24;37.32
1286.63;7.16;35.87
1038.65;6.95;32.23
1111.38;7.01;33.34
477.57;6.17;21.85
1383.69;7.23;37.2
279.68;5.64;16.72
3862.2;8.26;62.15
1162.23;7.06;34.09
1424.53;7.26;37.74
1631.23;7.4;40.39
940.13;6.85;30.66
261.56;5.57;16.17
1022.85;6.93;31.98
993.57;6.9;31.52
878.61;6.78;29.64
871.62;6.77;29.52
392.87;5.98;19.82
5361.93;8.59;73.23
701.45;6.55;26.48
674.09;6.51;25.96
7504.09;8.92;86.63
724.61;6.59;26.92
394.26;5.98;19.86
766.53;6.64;27.69
1331.32;7.19;36.49
1818.45;7.51;42.64
951.21;6.86;30.84
2003.43;7.6;44.76
841.51;6.74;29.01
1066.72;6.97;32.66
1306.62;7.18;36.15
1857.32;7.53;43.1
805.15;6.69;28.38
432.14;6.07;20.79
1121.66;7.02;33.49
457.77;6.13;21.4
798.63;6.68;28.26
1911.72;7.56;43.72
2436.71;7.8;49.36
416.16;6.03;20.4
362.38;5.9;19.04
1279.69;7.16;35.77
559.53;6.33;23.65
915.58;6.82;30.26
1486.44;7.3;38.55
1403.15;7.25;37.46
2420.05;7.79;49.19
206.01;5.33;14.35
4.44;1.69;2.11
1172.35;7.07;34.24
1167.83;7.06;34.17
1392.69;7.24;37.32
1246.59;7.13;35.31
616.28;6.43;24.82
2379.08;7.77;48.78
1564.69;7.36;39.56
302.87;5.72;17.4
1353.75;7.21;36.79
986.24;6.89;31.4
2138.36;7.67;46.24
2053.83;7.63;45.32
3086.54;8.04;55.56
1495.84;7.31;38.68
1021.72;6.93;31.96
894.5;6.8;29.91
707.54;6.56;26.6
568.99;6.35;23.85
1379.63;7.23;37.14
910.49;6.82;30.17
960.67;6.87;30.99
865.74;6.76;29.42
1476.73;7.3;38.43
1095.13;7;33.09
1320.46;7.19;36.34
1251.92;7.13;35.38
102.52;4.64;10.13
906.62;6.81;30.11
1130.13;7.03;33.62
1189.62;7.08;34.49
754.55;6.63;27.47
690.81;6.54;26.28
907.4;6.81;30.12
1166.25;7.06;34.15
1052.89;6.96;32.45
791.7;6.68;28.14
1425.35;7.26;37.75
916.27;6.82;30.27
484.91;6.19;22.02
988.7;6.9;31.44
884.53;6.79;29.74
3434.79;8.14;58.61
797.53;6.68;28.24
889.28;6.79;29.82
968.06;6.88;31.11
606.94;6.41;24.64
669.86;6.51;25.88
1035.95;6.94;32.19
1010.41;6.92;31.79
684.52;6.53;26.16
1012.34;6.92;31.82
603.9;6.41;24.57
2522.89;7.83;50.23
31.71;3.49;5.63
447.99;6.11;21.17
1196.6;7.09;34.59
950.82;6.86;30.84
1451.7;7.28;38.1
965.56;6.87;31.07
619.85;6.43;24.9
605;6.41;24.6
726.17;6.59;26.95
80.36;4.4;8.96
637.68;6.46;25.25
952.2;6.86;30.86
1046.81;6.95;32.35
916.92;6.82;30.28
1074.53;6.98;32.78
1370.62;7.22;37.02
677.25;6.52;26.02
561.39;6.33;23.69
394.94;5.98;19.87
1061.68;6.97;32.58
1577.65;7.36;39.72
1140.56;7.04;33.77
1110.53;7.01;33.32
728.04;6.59;26.98
1023.92;6.93;32
3409.45;8.13;58.39
970.92;6.88;31.16
2921.14;7.98;54.05
912.76;6.82;30.21
2180.3;7.69;46.69
500.39;6.22;22.37
31.25;3.47;5.59
1923.55;7.56;43.86
998.26;6.91;31.6
738.54;6.61;27.18
757.73;6.63;27.53
1620.06;7.39;40.25
11956.77;9.39;109.35
654.44;6.49;25.58
1703.95;7.44;41.28
1977.06;7.59;44.46
907.32;6.81;30.12
830.47;6.72;28.82
1494.23;7.31;38.66
259.41;5.56;16.11
612.92;6.42;24.76
1943.75;7.57;44.09
1030.46;6.94;32.1
1005.94;6.91;31.72
4418.69;8.39;66.47
695.11;6.55;26.36
821.76;6.71;28.67
1314.48;7.18;36.26
563.68;6.34;23.74
1509.3;7.32;38.85
841.08;6.74;29
1422.96;7.26;37.72
895.12;6.8;29.92
704.21;6.56;26.54
401.98;6;20.05
2067.8;7.63;45.47
1127.6;7.03;33.58
812.83;6.7;28.51
3809.35;8.25;61.72
1637.86;7.4;40.47
920.62;6.83;30.34
1438.25;7.27;37.92
1610.18;7.38;40.13
2200.32;7.7;46.91
30.23;3.44;5.5
1157.26;7.05;34.02
1324.28;7.19;36.39
669.65;6.51;25.88
162.25;5.1;12.74
1330.35;7.19;36.47
2071.79;7.64;45.52
1517.32;7.33;38.95
1874.03;7.54;43.29
1305.5;7.18;36.13
648.63;6.48;25.47
746.83;6.62;27.33
960.23;6.87;30.99
471.03;6.16;21.7
840.78;6.74;29
2106.4;7.65;45.9
1144.99;7.04;33.84
3138.34;8.05;56.02
584.62;6.37;24.18
2259.51;7.72;47.53
2061.47;7.63;45.4
1145.41;7.04;33.84
1299.43;7.17;36.05
1663.32;7.42;40.78
1276.66;7.15;35.73
10545.8;9.26;102.69
1599.96;7.38;40
1166.48;7.06;34.15
572.03;6.35;23.92
1034.31;6.94;32.16
1069.78;6.98;32.71
2987.34;8;54.66
2554.19;7.85;50.54
840.55;6.74;28.99
1124.08;7.03;33.53
1804.01;7.5;42.47
1719.07;7.45;41.46
43.84;3.8;6.62
1646.16;7.41;40.57
1077.19;6.98;32.82
1975.95;7.59;44.45
962.29;6.87;31.02
1091.06;7;33.03
766.82;6.64;27.69
1676.93;7.43;40.95
503.84;6.22;22.45
694.38;6.54;26.35
279.58;5.64;16.72
1132.22;7.03;33.65
626.08;6.44;25.02
518.18;6.25;22.76
651.3;6.48;25.52
236.55;5.47;15.38
1381.68;7.23;37.17
1370.56;7.22;37.02
1903.21;7.55;43.63
1123.7;7.03;33.52
842.15;6.74;29.02
1365.98;7.22;36.96
623.48;6.44;24.97
1317.85;7.18;36.3
506.47;6.23;22.5
3823.95;8.25;61.84
805.64;6.69;28.38
1460;7.29;38.21
972.25;6.88;31.18
1555.71;7.35;39.44
472.83;6.16;21.74
701.61;6.55;26.49
545.28;6.3;23.35
1470.71;7.29;38.35
2165.4;7.68;46.53
1151.18;7.05;33.93
402.99;6;20.07
563.11;6.34;23.73
1027.37;6.94;32.05
1001.83;6.91;31.65
1158.44;7.06;34.04
947.68;6.86;30.78
1184.69;7.08;34.42
1141.21;7.04;33.78
1645.64;7.41;40.57
1341.24;7.2;36.62
769.59;6.65;27.74
838.75;6.73;28.96
1193.84;7.09;34.55
867.2;6.77;29.45
1060.88;6.97;32.57
2390.36;7.78;48.89
1274.91;7.15;35.71
1357.67;7.21;36.85
154.42;5.05;12.43
2008.22;7.61;44.81
1463.93;7.29;38.26
1077.05;6.98;32.82
573.88;6.35;23.96
1158.63;7.06;34.04
1059.52;6.97;32.55
946.91;6.85;30.77
502.11;6.22;22.41
1104.25;7.01;33.23
3896.96;8.27;62.43
805.18;6.69;28.38
900.9;6.8;30.02
844.71;6.74;29.06
352.15;5.87;18.77
793.06;6.68;28.16
1096.88;7;33.12
211.97;5.36;14.56
836.48;6.73;28.92
1257.13;7.14;35.46
1451.53;7.28;38.1
1009.77;6.92;31.78
1347.17;7.21;36.7
1321.92;7.19;36.36
1847.58;7.52;42.98
1036.57;6.94;32.2
1067.19;6.97;32.67
2660.02;7.89;51.58
56.01;4.04;7.48
858.59;6.76;29.3
1092.73;7;33.06
2033.13;7.62;45.09
1535.34;7.34;39.18
7105.74;8.87;84.3
1660.39;7.42;40.75
1050.43;6.96;32.41
1829.83;7.51;42.78
716.32;6.58;26.76
1309.92;7.18;36.19
3066.81;8.03;55.38
1071.53;6.98;32.73
972.17;6.88;31.18
1616.11;7.39;40.2
1156.73;7.05;34.01
428.97;6.06;20.71
3052.35;8.02;55.25
1027.64;6.94;32.06
2132.4;7.67;46.18
1264.38;7.14;35.56
1388.39;7.24;37.26
1094.55;7;33.08
2554.93;7.85;50.55
1514.24;7.32;38.91
2448.49;7.8;49.48
445.59;6.1;21.11
1850.74;7.52;43.02
1071.25;6.98;32.73
1439.45;7.27;37.94
1258.4;7.14;35.47
1213.01;7.1;34.83
1131.06;7.03;33.63
1179.16;7.07;34.34
1226.94;7.11;35.03
3297.69;8.1;57.43
1139.24;7.04;33.75
1284.1;7.16;35.83
1555.64;7.35;39.44
1738.5;7.46;41.7
920.62;6.83;30.34
1776.55;7.48;42.15
768.33;6.65;27.72
1370.43;7.22;37.02
1628.05;7.4;40.35
2044.78;7.62;45.22
1423.61;7.26;37.73
933.45;6.84;30.55
1253.95;7.13;35.41
1274.77;7.15;35.7
1441.81;7.27;37.97
959.93;6.87;30.98
1814.75;7.5;42.6
1448.76;7.28;38.06
2085.83;7.64;45.67
1342.29;7.2;36.64
1354.13;7.21;36.8
476.25;6.17;21.82
489.51;6.2;22.12
1270.56;7.15;35.64
2256.41;7.72;47.5
2288.23;7.74;47.84
806.55;6.69;28.4
4224.99;8.35;65
2997.15;8.01;54.75
1544.61;7.34;39.3
1530.73;7.33;39.12
2409.59;7.79;49.09
1395.77;7.24;37.36
12347.33;9.42;111.12
700.42;6.55;26.47
1025.39;6.93;32.02
1882.51;7.54;43.39
511.75;6.24;22.62
1053.97;6.96;32.46
2354.11;7.76;48.52
1668.2;7.42;40.84
1525.91;7.33;39.06
1248.64;7.13;35.34
2985.58;8;54.64
798.98;6.68;28.27
1445.05;7.28;38.01
1022.04;6.93;31.97
1997.28;7.6;44.69
1539.89;7.34;39.24
486.01;6.19;22.05
1755.56;7.47;41.9
805.69;6.69;28.38
500.45;6.22;22.37
165.77;5.12;12.88
1736;7.46;41.67
1256.31;7.14;35.44
1474.29;7.3;38.4
119.05;4.79;10.91
1572.58;7.36;39.66
2489.92;7.82;49.9
868.66;6.77;29.47
2320.37;7.75;48.17
1313.85;7.18;36.25
1474.21;7.3;38.4
1277.81;7.15;35.75
779.08;6.66;27.91
5050.33;8.53;71.07
1164.61;7.06;34.13
979.33;6.89;31.29
1894.05;7.55;43.52
1545.98;7.34;39.32
1136.42;7.04;33.71
1748.73;7.47;41.82
1440.63;7.27;37.96
987.17;6.9;31.42
775.07;6.65;27.84
764.03;6.64;27.64
817.41;6.71;28.59
1308.55;7.18;36.17
2688.59;7.9;51.85
1416.13;7.26;37.63
803.82;6.69;28.35
1157.8;7.06;34.03
2377.16;7.77;48.76
841.96;6.74;29.02
1554.57;7.35;39.43
3234.07;8.08;56.87
771.61;6.65;27.78
1712.62;7.45;41.38
3241.92;8.08;56.94
1478.37;7.3;38.45
1005.35;6.91;31.71
975.85;6.88;31.24
1478.52;7.3;38.45
3979.34;8.29;63.08
793.48;6.68;28.17
817.93;6.71;28.6
757.87;6.63;27.53
1413.36;7.25;37.59
1635.98;7.4;40.45
1789.13;7.49;42.3
1243.65;7.13;35.27
5146.34;8.55;71.74
993.37;6.9;31.52
1510.68;7.32;38.87
299.61;5.71;17.31
842.95;6.74;29.03
1030.4;6.94;32.1
1098.16;7;33.14
1529.46;7.33;39.11
1100.95;7;33.18
856.15;6.75;29.26
825.01;6.72;28.72
1406.81;7.25;37.51
1578.41;7.36;39.73
276.5;5.63;16.63
468.84;6.15;21.65
3806.68;8.24;61.7
1171.94;7.07;34.23
1550.25;7.35;39.37
288.65;5.67;16.99
2109.22;7.65;45.93
987.07;6.9;31.42
796.46;6.68;28.22
979.39;6.89;31.3
748.39;6.62;27.36
1067.21;6.97;32.67
2376.41;7.77;48.75
1222.77;7.11;34.97
157.27;5.06;12.54
1411.55;7.25;37.57
1620.92;7.39;40.26
819.08;6.71;28.62
1282.78;7.16;35.82
1035.29;6.94;32.18
1036.1;6.94;32.19
1023.9;6.93;32
1537.14;7.34;39.21
1658.17;7.41;40.72
1616.99;7.39;40.21
3106.45;8.04;55.74
3588.32;8.19;59.9
2673.53;7.89;51.71
2091.19;7.65;45.73
1035.61;6.94;32.18
630.08;6.45;25.1
2108.17;7.65;45.91
1315.29;7.18;36.27
920.33;6.83;30.34
903.24;6.81;30.05
952.35;6.86;30.86
906.7;6.81;30.11
43.72;3.8;6.61
209.98;5.35;14.49
1094.63;7;33.09
1976.4;7.59;44.46
1865.66;7.53;43.19
717.13;6.58;26.78
1029.1;6.94;32.08
1908.27;7.55;43.68
1002.19;6.91;31.66
325.97;5.79;18.05
1049.35;6.96;32.39
1644.77;7.41;40.56
2161.97;7.68;46.5
1246.95;7.13;35.31
995.69;6.9;31.55
2499.71;7.82;50
1787.81;7.49;42.28
1343.97;7.2;36.66
834.44;6.73;28.89
2301.85;7.74;47.98
3248.39;8.09;56.99
1116.98;7.02;33.42
850.01;6.75;29.15
1064.54;6.97;32.63
1825.43;7.51;42.73
1260.13;7.14;35.5
1000.59;6.91;31.63
741.64;6.61;27.23
1653.34;7.41;40.66
1421.17;7.26;37.7
732.76;6.6;27.07
955.91;6.86;30.92
1033.32;6.94;32.15
3171.47;8.06;56.32
647.74;6.48;25.45
1593.08;7.37;39.91
1743.78;7.46;41.76
1152.38;7.05;33.95
2521.06;7.83;50.21
733.79;6.6;27.09
1682.24;7.43;41.02
1740.85;7.46;41.72
760.82;6.64;27.58
703.02;6.56;26.51
1231.32;7.12;35.09
898.43;6.8;29.97
814.79;6.7;28.54
1457.44;7.29;38.18
1342.6;7.2;36.64
1830.94;7.51;42.79
875;6.78;29.58
1252.04;7.13;35.38
1977.11;7.59;44.46
800.11;6.69;28.29
1051.35;6.96;32.42
3534.87;8.17;59.45
479.52;6.17;21.9
9588.26;9.17;97.92
1905.79;7.55;43.66
1207.48;7.1;34.75
923.31;6.83;30.39
3966.14;8.29;62.98
2379.29;7.77;48.78
2119.04;7.66;46.03
1009.6;6.92;31.77
890.05;6.79;29.83
745.54;6.62;27.3
314.05;5.75;17.72
664.63;6.5;25.78
823.33;6.71;28.69
1087.16;6.99;32.97
2336.81;7.76;48.34
1453.36;7.28;38.12
1885.45;7.54;43.42
470.57;6.16;21.69
1540.27;7.34;39.25
863.03;6.76;29.38
711.92;6.57;26.68
1016.9;6.93;31.89
1642.2;7.4;40.52
626.28;6.44;25.03
1483.09;7.3;38.51
3230.72;8.08;56.84
2038.32;7.62;45.15
4058.08;8.31;63.7
1768.42;7.48;42.05
6349.13;8.76;79.68
469.49;6.15;21.67
925.98;6.83;30.43
1404.53;7.25;37.48
2528.59;7.84;50.29
2937.93;7.99;54.2
2554.59;7.85;50.54
1400.76;7.25;37.43
772.37;6.65;27.79
887.07;6.79;29.78
1889.7;7.54;43.47
1351.82;7.21;36.77
552.47;6.32;23.5
1631.14;7.4;40.39
673.68;6.51;25.96
1981.1;7.59;44.51
642.4;6.47;25.35
1321.19;7.19;36.35
761.37;6.64;27.59
1520.95;7.33;39
1742.13;7.46;41.74
708.22;6.56;26.61
3005.01;8.01;54.82
975.4;6.88;31.23
650.79;6.48;25.51
513.7;6.24;22.66
732;6.6;27.06
668.43;6.51;25.85
821.35;6.71;28.66
1183.7;7.08;34.4
771.59;6.65;27.78
1506.71;7.32;38.82
2459.3;7.81;49.59
2741.49;7.92;52.36
1211.42;7.1;34.81
2428.99;7.8;49.28
1341.38;7.2;36.62
887.34;6.79;29.79
792.88;6.68;28.16
855.73;6.75;29.25
1139.75;7.04;33.76
718.43;6.58;26.8
683.98;6.53;26.15
1132.49;7.03;33.65
1310.28;7.18;36.2
1447.09;7.28;38.04
689.1;6.54;26.25
761.38;6.64;27.59
1818.87;7.51;42.65
1771.67;7.48;42.09
848.01;6.74;29.12
1148.03;7.05;33.88
1092.38;7;33.05
532.32;6.28;23.07
2449.51;7.8;49.49
1478.33;7.3;38.45
1237.68;7.12;35.18
1725.09;7.45;41.53
337.49;5.82;18.37
1731.61;7.46;41.61
847.86;6.74;29.12
1076.08;6.98;32.8
815.58;6.71;28.56
844.83;6.74;29.07
1309.68;7.18;36.19
1111.9;7.01;33.35
865.38;6.76;29.42
1993.51;7.6;44.65
1364.44;7.22;36.94
1566.8;7.36;39.58
1373.23;7.23;37.06
1834.49;7.52;42.83
1293.53;7.17;35.97
783.62;6.67;27.99
4575.43;8.43;67.64
3323.89;8.11;57.65
536.96;6.29;23.17
1543.53;7.34;39.29
812.36;6.7;28.5
1997.2;7.6;44.69
1328.76;7.19;36.45
1617.08;7.39;40.21
901.21;6.8;30.02
1196.01;7.09;34.58
1022.17;6.93;31.97
985.23;6.89;31.39
618.41;6.43;24.87
651.85;6.48;25.53
488.05;6.19;22.09
1138.75;7.04;33.75
1339.95;7.2;36.61
1129.16;7.03;33.6
740.21;6.61;27.21
709.24;6.57;26.63
1069.42;6.98;32.7
2234.24;7.71;47.27
2011.88;7.61;44.85
780.31;6.66;27.93
2122.52;7.66;46.07
1337.79;7.2;36.58
3266.2;8.09;57.15
1558.14;7.35;39.47
1230.13;7.12;35.07
951.69;6.86;30.85
688.86;6.54;26.25
2278.01;7.73;47.73
661.65;6.5;25.72
872.78;6.77;29.54
1596.72;7.38;39.96
1244.18;7.13;35.27
255.09;5.55;15.97
1108.68;7.01;33.3
962.83;6.87;31.03
1246.88;7.13;35.31
1163.07;7.06;34.1
760.32;6.64;27.57
1119.46;7.02;33.46
458.52;6.13;21.41
3580.17;8.18;59.83
648.33;6.48;25.46
166.1;5.12;12.89
1341.16;7.2;36.62
1175.56;7.07;34.29
1171.68;7.07;34.23
1845.85;7.52;42.96
1509.82;7.32;38.86
608.69;6.41;24.67
758.37;6.63;27.54
4117.68;8.32;64.17
1531.19;7.33;39.13
1818.59;7.51;42.64
1163.48;7.06;34.11
2024.42;7.61;44.99
1602.99;7.38;40.04
929.93;6.84;30.49
1484.18;7.3;38.53
1789.93;7.49;42.31
1983.02;7.59;44.53
1392.22;7.24;37.31
574.19;6.35;23.96
800.15;6.69;28.29
1681.4;7.43;41
928.68;6.83;30.47
773.23;6.65;27.81
553.09;6.32;23.52
984.45;6.89;31.38
776.34;6.66;27.86
1563.5;7.36;39.54
998.88;6.91;31.61
1123.29;7.02;33.52
699.83;6.55;26.45
2028.89;7.62;45.04
1959.74;7.58;44.27
1672.23;7.42;40.89
1741.83;7.46;41.74
917.56;6.82;30.29
1677.47;7.43;40.96
1110.55;7.01;33.32
875.54;6.78;29.59
1164.48;7.06;34.12
3948.66;8.28;62.84
1098.33;7;33.14
1223.35;7.11;34.98
573.67;6.35;23.95
770.78;6.65;27.76
645.26;6.47;25.4
1223.3;7.11;34.98
1275.33;7.15;35.71
1323.58;7.19;36.38
794.42;6.68;28.19
1505.95;7.32;38.81
2216.98;7.7;47.08
1136.62;7.04;33.71
1937.86;7.57;44.02
491.8;6.2;22.18
891.87;6.79;29.86
1154.72;7.05;33.98
1091.6;7;33.04
1029.37;6.94;32.08
1579.92;7.37;39.75
1549.6;7.35;39.36
1509.02;7.32;38.85
1211.55;7.1;34.81
4997.66;8.52;70.69
1354.3;7.21;36.8
1114.81;7.02;33.39
2085.47;7.64;45.67
796.24;6.68;28.22
1077.58;6.98;32.83
1616.72;7.39;40.21
1111.24;7.01;33.34
1116.72;7.02;33.42
1701.11;7.44;41.24
4522.77;8.42;67.25
1576.4;7.36;39.7
943.44;6.85;30.72
1012.71;6.92;31.82
885.25;6.79;29.75
1759.74;7.47;41.95
1026.45;6.93;32.04
2340.32;7.76;48.38
960.59;6.87;30.99
615.07;6.42;24.8
1828.01;7.51;42.76
1272.86;7.15;35.68
1119.5;7.02;33.46
796.9;6.68;28.23
1793;7.49;42.34
1573.95;7.36;39.67
831.94;6.72;28.84
970.32;6.88;31.15
407.72;6.01;20.19
1185.25;7.08;34.43
118.87;4.79;10.9
1621.11;7.39;40.26
365.79;5.9;19.13
1284.2;7.16;35.84
2462.17;7.81;49.62
1323.85;7.19;36.38
1478.46;7.3;38.45
1143.91;7.04;33.82
1022.86;6.93;31.98
944.23;6.85;30.73
2267.37;7.73;47.62
4960.96;8.51;70.43
914.25;6.82;30.24
941.16;6.85;30.68
1070.58;6.98;32.72
1734.03;7.46;41.64
1567.81;7.36;39.6
1280.37;7.16;35.78
1508.49;7.32;38.84
2190.61;7.69;46.8
1311.15;7.18;36.21
3016.62;8.01;54.92
1647.53;7.41;40.59
314.59;5.75;17.74
1281.35;7.16;35.8
1652.02;7.41;40.65
1220.79;7.11;34.94
1584.83;7.37;39.81
1574.69;7.36;39.68
1230.26;7.12;35.08
867.78;6.77;29.46
1856.39;7.53;43.09
1200.95;7.09;34.65
1842.77;7.52;42.93
850.48;6.75;29.16
3136.3;8.05;56
2245.99;7.72;47.39
2300.64;7.74;47.96
1172.46;7.07;34.24
1873.72;7.54;43.29
333.86;5.81;18.27
1073.84;6.98;32.77
1404.16;7.25;37.47
1083;6.99;32.91
1187.51;7.08;34.46
876.86;6.78;29.61
672.01;6.51;25.92
1613.66;7.39;40.17
968.47;6.88;31.12
2406.07;7.79;49.05
1342.72;7.2;36.64
769.46;6.65;27.74
6170.86;8.73;78.55
1541.85;7.34;39.27
1156.94;7.05;34.01
829.57;6.72;28.8
444.95;6.1;21.09
1087.97;6.99;32.98
340.04;5.83;18.44
1429.54;7.27;37.81
621.58;6.43;24.93
1039.49;6.95;32.24
538.55;6.29;23.21
359.96;5.89;18.97
434.5;6.08;20.84
1545.64;7.34;39.31
282.06;5.65;16.79
3921.08;8.27;62.62
1186.13;7.08;34.44
1362.46;7.22;36.91
48.49;3.9;6.96
2443.97;7.8;49.44
1029.14;6.94;32.08
1128.56;7.03;33.59
2890.77;7.97;53.77
1493.86;7.31;38.65
1382.65;7.23;37.18
1154.28;7.05;33.97
902.09;6.81;30.03
1520.81;7.33;39
938.27;6.85;30.63
1325.86;7.19;36.41
1142.12;7.04;33.8
624.19;6.44;24.98
2337.1;7.76;48.34
1621.13;7.39;40.26
2082.29;7.64;45.63
1477.31;7.3;38.44
1141.29;7.04;33.78
2311.85;7.75;48.08
983.36;6.89;31.36
1198.98;7.09;34.63
1213.81;7.1;34.84
917.26;6.82;30.29
7813.51;8.96;88.39
1272.7;7.15;35.67
1251.47;7.13;35.38
21.02;3.09;4.59
548.12;6.31;23.41
1213.85;7.1;34.84
476.07;6.17;21.82
980.53;6.89;31.31
967.84;6.88;31.11
2981.64;8;54.6
896.39;6.8;29.94
779.98;6.66;27.93
548.66;6.31;23.42
1149.29;7.05;33.9
1159.38;7.06;34.05
1327.39;7.19;36.43
1135.29;7.04;33.69
368.26;5.91;19.19
1149.24;7.05;33.9
1328.02;7.19;36.44
1784.73;7.49;42.25
685.12;6.53;26.17
1551.86;7.35;39.39
326.83;5.79;18.08
851.96;6.75;29.19
774.22;6.65;27.82
8390.73;9.04;91.6
1812.88;7.5;42.58
1531.36;7.33;39.13
901.86;6.81;30.03
1093.63;7;33.07
1378.38;7.23;37.13
1536.49;7.34;39.2
553.01;6.32;23.52
7.26;2.11;2.69
2019.03;7.61;44.93
584.42;6.37;24.17
1630.44;7.4;40.38
988.17;6.9;31.44
936.44;6.84;30.6
1081.37;6.99;32.88
848.01;6.74;29.12
799.91;6.69;28.28
864.05;6.76;29.39
1515.05;7.32;38.92
1052.41;6.96;32.44
1434.74;7.27;37.88
62.45;4.15;7.9
2726.82;7.91;52.22
664.75;6.5;25.78
1245.21;7.13;35.29
224.74;5.42;14.99
1420.94;7.26;37.7
9264.4;9.13;96.25
1400.5;7.25;37.42
1085.14;6.99;32.94
944.33;6.85;30.73
2941.57;7.99;54.24
1618.94;7.39;40.24
28.06;3.37;5.3
534.8;6.28;23.13
1239.48;7.12;35.21
1545.23;7.34;39.31
948.17;6.86;30.79
688.67;6.54;26.24
1126.79;7.03;33.57
2866.95;7.96;53.54
3283.36;8.1;57.3
924.81;6.83;30.41
2357.42;7.77;48.55
1520.16;7.33;38.99
652.66;6.48;25.55
1060.51;6.97;32.57
4061.63;8.31;63.73
2302.65;7.74;47.99
1317;7.18;36.29
1212.17;7.1;34.82
1309.22;7.18;36.18
683.35;6.53;26.14
1080.57;6.99;32.87
757.32;6.63;27.52
1218.06;7.11;34.9
2414.01;7.79;49.13
726.48;6.59;26.95
391;5.97;19.77
779.65;6.66;27.92
723.39;6.59;26.9
513.04;6.24;22.65
1235.89;7.12;35.16
800.57;6.69;28.29
974.36;6.88;31.21
1087.84;6.99;32.98
1475.27;7.3;38.41
3345.87;8.12;57.84
359.02;5.89;18.95
1140.74;7.04;33.77
1018.33;6.93;31.91
2523.11;7.83;50.23
2198.29;7.7;46.89
1089.12;6.99;33
924.07;6.83;30.4
577.88;6.36;24.04
784.18;6.67;28
855.57;6.75;29.25
1103.95;7.01;33.23
741.92;6.61;27.24
934.54;6.84;30.57
3138.73;8.05;56.02
1477.03;7.3;38.43
921.11;6.83;30.35
994.93;6.9;31.54
1095.03;7;33.09
898.65;6.8;29.98
142.13;4.96;11.92
633.76;6.45;25.17
682.39;6.53;26.12
721.46;6.58;26.86
728.64;6.59;26.99
161.08;5.09;12.69
829.16;6.72;28.8
1077.45;6.98;32.82
1485.61;7.3;38.54
261.01;5.57;16.16
1093.88;7;33.07
899.94;6.8;30
703.57;6.56;26.52
1111.82;7.01;33.34
660.53;6.49;25.7
1171.79;7.07;34.23
574.97;6.36;23.98
1399.59;7.24;37.41
858.1;6.76;29.29
1363.78;7.22;36.93
1498.91;7.31;38.72
943.97;6.85;30.72
878.45;6.78;29.64
1344.61;7.2;36.67
1531.87;7.33;39.14
874.71;6.78;29.58
826.58;6.72;28.75
955.19;6.86;30.91
175.45;5.17;13.25
1319.26;7.19;36.32
1395.16;7.24;37.35
72.44;4.3;8.51
881.97;6.78;29.7
1132.36;7.03;33.65
1488.36;7.31;38.58
983.67;6.89;31.36
921.17;6.83;30.35
620.17;6.43;24.9
254.62;5.54;15.96
748.08;6.62;27.35
807.7;6.7;28.42
433.69;6.07;20.83
1007.86;6.92;31.75
866.24;6.77;29.43
1829.18;7.51;42.77
400.09;5.99;20
