subno	helpful	reliant	defbel	yielding	cheerful	indpt	athlet	shy	assert	strpers	forceful	affect	flatter	loyal	analyt	feminine	sympathy	moody	sensitiv	undstand	compass	leaderab	soothe	risk	decide	selfsuff	conscien	dominant	masculin	stand	happy	softspok	warm	truthful	tender	gullible	leadact	childlik	individ	foullang	lovchil	compete	ambitiou	gentle	H	DUMMY
483	5	6	6	3	5	6	2	2	5	6	5	4	4	6	7	5	5	4	7	6	5	6	5	4	4	6	7	6	4	6	4	6	6	5	4	4	6	1	5	6	7	5	5	6	.101140865923474	0
400	5	4	4	4	5	7	4	7	4	5	4	5	6	6	4	3	5	4	6	5	5	4	6	5	4	5	5	1	3	4	5	6	5	6	5	6	2	4	6	5	6	4	6	6	.101268990628994	0
506	7	6	7	3	7	4	7	1	5	5	2	7	4	7	5	6	7	3	6	6	6	6	6	3	5	6	7	2	1	7	7	6	7	7	6	1	5	1	4	6	7	7	4	6	.101486604471197	0
102	7	7	7	4	6	7	2	3	4	4	4	7	5	7	5	5	7	3	7	7	7	7	7	1	7	7	7	2	2	6	4	6	6	7	7	2	6	2	6	6	7	6	6	6	.101547427363967	0
299	7	6	7	5	7	7	6	3	5	6	4	5	3	6	4	4	6	4	5	6	6	6	4	5	5	5	5	4	3	5	5	5	4	5	4	4	5	4	4	6	7	5	5	4	.101785877498805	0
553	5	6	5	4	7	7	3	4	4	5	4	5	4	5	3	6	5	4	5	4	4	4	5	5	4	5	5	3	1	3	5	4	5	4	4	4	3	2	6	6	5	4	5	4	.102054590115884	0
129	7	7	7	4	4	7	4	2	7	7	7	5	4	7	7	3	6	2	6	6	6	7	6	4	7	7	5	6	3	6	5	4	5	7	5	2	7	4	7	3	4	7	7	5	.10237044587515	0
439	7	7	7	5	6	4	4	1	3	6	2	7	5	7	7	7	5	2	5	6	6	6	6	5	6	5	7	3	1	7	6	5	6	7	6	6	5	1	5	6	5	5	4	6	.102858827606074	0
230	6	6	7	5	6	6	5	4	5	6	6	5	6	6	6	7	6	1	6	6	6	4	6	6	6	7	6	4	1	6	7	2	7	5	6	1	4	2	4	4	6	4	4	6	.103415236728714	0
344	6	6	6	5	6	4	4	5	6	6	4	7	3	7	5	6	5	4	6	6	6	5	3	5	4	6	6	3	2	6	6	6	6	6	6	4	5	5	5	1	6	2	2	5	.103541915668022	0
144	6	6	7	4	6	6	3	3	6	6	5	6	4	7	4	5	4	5	5	3	3	6	3	2	5	6	7	6	1	6	5	2	4	6	4	4	6	2	6	6	7	5	6	4	.104091362114985	0
549	5	6	4	3	5	6	2	2	4	3	2	6	5	5	6	5	6	4	6	6	6	4	6	2	2	4	6	1	1	4	5	5	5	6	4	4	3	4	4	2	5	2	2	4	.104194724535287	0
90	5	6	7	2	6	7	5	4	6	7	5	4	1	6	6	5	4	3	5	5	5	7	4	7	7	6	6	7	2	7	6	6	4	7	4	2	6	3	7	4	2	6	6	5	.10452717350691	0
530	5	5	5	6	6	5	4	3	5	4	1	6	5	6	7	5	6	3	6	6	6	5	6	3	1	6	6	4	1	3	6	4	5	7	5	6	3	3	3	2	6	3	4	6	.10498622883217	0
441	7	5	6	7	5	5	3	1	3	5	5	5	3	6	3	5	7	1	6	7	6	4	7	5	5	6	6	4	1	5	6	5	5	7	5	6	4	3	4	1	7	4	5	6	.105068380165201	0
111	5	6	6	4	6	7	3	2	6	5	4	5	4	7	4	3	5	4	6	6	6	6	5	6	6	7	5	4	3	6	5	5	6	7	5	3	6	1	5	2	3	6	6	5	.105143127073379	0
88	7	6	7	5	7	7	4	4	6	6	6	7	6	7	3	7	6	6	7	6	6	6	7	6	3	6	7	6	1	6	6	2	6	7	6	1	4	3	6	4	7	4	3	6	.105284553037733	0
589	6	5	5	5	5	5	3	3	4	3	4	5	4	6	5	4	5	1	4	4	4	4	4	4	4	4	4	4	1	4	6	4	4	7	6	5	5	3	5	2	6	4	6	5	.105307494118448	0
54	6	7	7	4	5	7	3	1	7	7	6	7	3	7	6	5	6	3	5	6	6	7	4	4	7	7	6	6	5	7	4	1	6	7	7	3	7	3	6	3	7	6	6	7	.105368343824496	0
78	6	7	7	6	7	7	4	5	6	6	3	6	5	7	6	5	6	2	5	6	5	3	5	1	4	7	6	3	1	7	7	3	6	7	5	2	3	1	7	2	6	5	6	5	.1054668997599	0
213	7	7	7	7	6	7	1	3	3	6	2	7	4	7	4	7	7	4	7	7	7	4	6	6	6	7	7	1	1	7	6	6	7	7	6	4	1	1	6	7	7	4	6	7	.106565584456889	0
150	5	6	5	4	5	5	2	3	4	3	5	4	2	6	3	5	4	5	3	4	4	5	5	6	6	6	7	6	3	5	5	4	3	6	4	3	6	2	4	5	6	3	3	4	.106649340203335	0
74	5	5	6	5	7	6	7	4	6	6	4	6	6	6	6	6	6	2	7	6	7	2	7	3	5	6	6	2	1	6	7	6	6	6	6	2	2	2	5	6	7	2	2	6	.106675866330492	0
551	6	6	6	4	7	5	2	4	6	4	4	6	5	7	7	4	6	1	5	6	5	4	4	3	4	5	7	4	2	6	5	5	6	7	6	2	4	1	7	7	6	4	7	5	.107210063526866	0
690	6	3	7	3	6	5	2	3	3	4	3	7	4	7	6	7	7	3	7	7	7	2	6	3	3	4	6	3	1	5	5	6	6	6	7	7	3	4	3	2	7	2	2	6	.107835421601651	0
205	7	7	7	6	6	6	3	3	6	7	4	6	5	7	6	5	7	3	6	6	6	6	6	7	3	6	6	3	1	6	5	5	6	7	7	2	3	1	5	3	3	3	5	6	.107861615717921	0
153	4	6	3	4	6	6	4	4	3	1	1	3	3	5	3	6	3	2	3	4	4	2	3	4	4	5	5	4	2	3	6	4	4	6	4	2	2	3	6	4	4	4	4	4	.108076045361899	0
53	7	7	6	4	7	7	3	1	6	6	4	5	3	7	7	7	7	1	7	7	6	7	5	7	7	7	6	5	4	6	6	2	6	7	5	1	7	2	6	1	4	5	6	5	.108189659380241	0
156	7	6	6	4	7	6	3	4	4	5	4	7	2	6	3	5	4	4	6	6	7	4	4	4	5	6	5	4	2	5	7	4	6	7	6	3	4	3	5	7	6	4	5	7	.108933114873007	0
269	6	6	7	3	5	6	5	2	6	5	4	6	3	7	3	6	7	2	7	5	5	5	4	2	3	6	6	4	1	6	6	4	4	7	5	2	4	1	4	7	6	4	4	4	.109215679517727	0
326	5	6	4	5	7	5	7	4	3	5	3	6	5	6	2	5	6	1	6	7	5	3	5	2	2	5	7	2	1	2	7	5	6	5	5	6	3	2	5	6	7	2	4	6	.110520342819066	0
136	5	6	6	6	5	4	4	1	6	6	5	7	7	7	6	7	5	7	7	5	6	4	7	4	4	4	5	3	1	6	6	5	7	7	7	6	4	3	5	6	7	5	6	7	.11071030004618	0
160	6	7	6	4	6	7	4	3	6	7	6	7	5	5	7	7	7	4	5	6	6	6	7	3	5	6	7	7	1	5	3	5	6	6	5	5	6	2	5	3	5	7	7	6	.110772285710102	0
231	6	5	7	5	6	6	4	5	6	5	5	6	7	7	6	7	7	5	6	7	6	4	6	5	5	6	6	5	2	6	6	6	5	6	5	6	5	6	6	6	5	7	6	6	.110872643747887	0
711	7	6	7	3	6	7	1	2	6	5	4	6	2	7	6	6	6	1	6	6	6	5	5	3	5	7	7	3	1	6	6	6	6	7	6	3	4	1	2	6	3	2	2	6	.111122269103637	0
242	6	7	6	5	7	6	2	2	6	5	4	5	5	7	5	6	5	1	6	6	7	2	7	3	5	6	7	4	1	5	7	4	6	6	6	5	1	3	5	2	6	2	4	4	.111736215359146	0
56	6	6	7	5	5	5	1	1	5	5	3	7	4	6	6	7	7	4	7	7	7	6	4	4	4	6	7	6	3	5	6	6	7	6	6	6	4	2	6	3	7	6	5	7	.112162063679589	0
29	7	5	7	3	4	5	4	4	4	5	5	7	4	7	5	6	4	5	4	4	6	3	4	3	4	5	5	6	1	5	5	4	4	7	5	1	3	4	5	6	7	5	5	6	.112219447741579	0
756	7	6	7	6	7	7	4	1	7	7	2	7	6	7	7	7	7	4	7	6	7	7	7	6	6	7	7	7	1	6	7	5	7	7	6	3	7	1	7	2	6	3	7	6	.113418329795643	0
361	7	6	6	6	5	5	2	3	2	5	2	6	1	7	7	5	6	2	6	7	6	4	6	2	2	6	7	1	1	4	7	6	6	6	6	5	3	3	6	7	7	6	6	6	.11351620814498	0
591	6	5	4	6	6	4	5	2	2	6	2	7	6	7	3	7	7	3	6	7	6	5	6	3	2	3	6	4	2	5	6	6	6	7	5	4	5	3	6	6	6	2	5	6	.113998419998495	0
685	7	6	3	4	5	6	3	1	5	5	4	5	3	6	3	3	4	2	5	5	5	4	5	3	6	6	6	4	4	4	6	2	5	6	4	4	6	2	5	3	6	3	3	3	.114287973429122	0
521	7	7	5	7	6	7	1	7	4	4	3	6	1	6	5	5	7	1	6	6	7	2	7	6	5	7	7	2	1	4	6	6	6	6	6	3	4	1	4	1	7	3	4	7	.114675767708419	0
465	5	6	7	4	7	4	6	3	4	6	5	7	6	7	4	4	7	4	3	6	5	5	6	3	5	5	6	6	3	5	7	2	5	6	5	3	6	4	5	4	7	5	4	6	.11589421972794	0
121	7	6	7	2	6	7	1	1	5	5	5	5	7	7	6	5	6	2	7	6	5	6	5	5	6	7	5	4	3	5	5	3	5	6	5	2	5	2	6	7	7	7	7	5	.116309242811767	0
493	6	6	7	6	6	7	3	2	4	6	3	6	7	6	5	6	5	3	7	6	5	6	3	6	6	7	7	5	2	5	6	4	6	7	6	5	5	5	6	3	6	6	7	6	.116432679171929	0
107	5	6	7	4	5	5	6	1	5	6	4	6	7	6	6	6	5	4	4	5	4	2	4	2	1	4	4	6	1	4	5	4	6	7	6	4	2	4	4	4	5	4	3	5	.116739260117965	0
494	7	7	3	5	7	7	3	3	3	3	2	6	3	7	5	7	7	1	6	6	7	7	6	3	6	7	7	1	1	5	6	6	6	6	6	1	6	2	5	7	7	2	5	7	.116886967121037	0
355	7	7	7	2	6	7	5	2	7	7	7	7	4	7	4	6	5	2	7	6	6	7	5	3	2	7	7	6	3	7	7	3	6	7	5	1	7	2	7	6	6	7	7	6	.11715448986426	0
270	7	7	7	6	6	7	5	6	7	6	7	7	1	7	7	7	7	5	7	7	7	6	7	7	7	7	7	6	1	7	6	5	6	7	7	7	7	4	7	2	7	6	5	6	.117853420240183	0
48	6	6	5	5	6	6	7	2	6	6	5	5	4	6	7	7	7	4	7	7	6	5	5	4	4	6	7	4	1	6	5	4	6	7	4	6	4	2	5	1	4	7	7	4	.118379524665611	0
378	5	6	6	5	4	4	3	6	4	3	2	5	3	6	3	5	7	3	5	4	5	4	3	2	4	4	5	4	2	5	5	3	4	6	4	3	3	3	5	2	4	6	5	4	.118570106685318	0
487	6	7	7	5	7	7	4	1	6	6	4	7	5	7	5	5	6	4	5	5	5	5	5	2	7	6	6	2	1	5	7	2	7	6	7	2	4	3	4	6	7	5	5	7	.11977202607409	0
453	6	6	7	6	7	7	1	4	6	7	6	6	5	7	6	6	6	4	6	6	6	7	7	2	3	6	7	5	1	7	6	5	7	7	7	3	4	5	6	4	4	2	6	6	.121090903669262	0
757	3	5	3	4	5	5	1	2	4	4	5	6	7	7	4	7	6	4	5	5	4	1	6	2	3	5	5	4	1	4	6	6	6	7	5	6	1	2	5	5	6	2	4	5	.121687033378853	0
420	7	5	7	5	7	5	4	6	4	6	7	7	7	7	6	7	6	4	6	6	6	4	7	4	6	5	5	7	1	7	7	6	6	6	6	2	4	5	6	2	7	5	5	6	.12194455474882	0
7	5	6	7	4	6	6	2	4	4	2	2	5	3	7	7	7	6	4	5	5	5	3	5	1	3	7	7	2	1	7	6	6	6	7	4	1	3	1	7	4	7	1	5	6	.122108983061522	0
688	3	6	5	5	5	6	3	5	3	2	2	2	2	5	4	3	5	4	4	5	4	2	5	3	5	5	5	4	2	4	4	5	3	6	2	2	2	3	2	6	6	2	2	4	.122284989649026	0
359	5	5	5	3	5	5	1	6	2	3	3	6	4	6	6	5	5	4	4	6	6	3	7	4	6	5	6	3	2	5	5	4	6	5	4	7	2	3	4	5	4	2	4	4	.122471494433916	0
308	7	5	7	5	4	5	4	5	5	5	3	4	2	6	7	5	5	4	4	6	5	4	4	4	4	5	7	6	2	6	5	5	4	7	5	1	4	1	6	6	3	4	6	6	.122968358575352	0
554	7	6	7	3	5	7	3	3	6	7	6	4	5	7	7	4	7	3	7	7	7	6	7	4	6	6	7	6	3	7	5	4	4	6	3	2	5	1	7	2	7	4	3	3	.123056471599952	0
454	7	7	7	5	6	7	5	1	7	7	7	7	5	6	7	6	6	3	7	7	7	7	7	7	7	7	7	6	6	7	6	5	7	6	6	1	6	4	7	4	6	6	6	6	.123089896947807	0
123	6	3	7	6	4	2	5	1	4	4	4	6	5	7	5	5	7	3	7	7	7	3	7	1	2	3	7	3	1	5	6	4	7	7	7	7	4	3	4	4	6	2	4	6	.123558309548364	0
99	6	7	6	3	6	7	4	3	5	6	5	7	4	7	6	7	5	3	6	6	6	6	5	7	5	7	5	5	5	7	7	6	7	6	7	7	5	5	7	4	7	3	5	7	.124436653099398	0
348	6	6	5	6	6	5	3	4	2	3	4	4	3	7	4	6	5	4	6	6	5	4	5	5	4	4	5	4	2	4	5	5	4	6	5	2	3	3	6	3	4	6	7	4	.124581912124461	0
277	5	6	6	5	4	5	3	1	5	5	4	6	3	6	6	4	7	4	5	7	5	4	6	5	6	5	5	4	2	4	2	4	5	6	4	2	4	1	5	5	6	3	5	5	.125054487800924	0
434	7	5	3	4	6	4	1	3	4	3	3	6	5	7	3	6	6	1	6	7	7	4	5	4	4	4	7	4	1	4	7	6	6	7	7	4	4	2	4	7	4	1	2	6	.125233780504633	0
479	7	7	7	5	6	7	2	3	4	5	2	7	6	6	3	7	6	1	6	7	6	7	7	5	5	7	7	3	1	6	7	6	6	4	6	4	4	2	6	7	7	4	6	6	.125608735775278	0
579	6	5	5	3	6	7	1	6	3	5	1	6	5	7	4	6	7	2	7	6	6	4	7	2	3	6	6	2	1	2	6	3	6	7	5	3	3	2	5	6	3	4	4	6	.12581778676448	0
89	5	3	6	3	6	3	3	2	5	5	5	6	5	7	5	5	6	1	5	5	4	6	5	5	3	3	6	4	2	6	6	4	5	5	6	6	6	1	5	1	7	4	4	5	.125865080773063	0
463	7	7	7	4	7	7	2	1	7	7	7	7	2	7	7	7	7	1	5	6	6	7	7	4	6	7	7	2	1	7	6	6	6	7	6	1	6	1	6	1	7	1	2	5	.126406774752462	0
259	7	7	6	3	6	7	6	3	4	3	3	7	2	7	7	4	7	5	6	7	7	4	5	3	5	7	5	5	4	4	6	4	6	6	6	6	4	6	6	4	7	4	6	6	.126428021387739	0
397	7	7	7	4	6	7	5	1	3	7	4	5	1	7	5	6	6	1	7	5	6	7	5	5	7	7	7	5	2	5	7	5	6	7	6	7	6	1	7	1	4	6	6	6	.126873219072813	0
406	7	6	4	6	5	7	2	4	6	6	4	7	6	7	7	5	7	5	6	6	7	6	7	2	4	7	7	7	1	3	5	2	5	5	6	4	6	2	5	3	7	6	6	6	.126908046369829	0
86	5	5	7	3	4	4	2	1	3	5	5	6	6	6	5	5	4	6	5	4	4	3	6	2	2	4	5	5	2	4	4	3	3	6	2	3	3	3	5	2	6	3	2	3	.12716221766214	0
324	7	7	6	4	6	7	4	4	6	7	7	7	4	7	4	6	6	2	5	6	6	4	3	2	2	7	7	4	1	6	6	6	6	6	6	3	4	3	6	5	6	6	2	6	.127305112171051	0
258	6	7	7	6	7	7	4	5	6	4	4	6	5	7	7	6	6	7	7	7	6	5	6	7	4	6	6	5	2	2	7	4	6	6	6	6	4	4	5	3	7	6	7	7	.127582403089847	0
301	4	6	6	2	6	7	1	2	6	4	3	5	2	6	5	4	5	2	4	5	5	6	2	5	6	6	7	5	3	6	6	3	4	6	3	2	6	1	6	2	4	5	4	4	.128459626638472	0
248	7	6	5	6	6	6	5	5	4	4	4	6	4	6	4	6	6	3	6	6	6	2	6	4	4	5	6	2	1	5	7	7	7	7	7	4	1	7	4	1	7	4	1	6	.129435397403459	0
23	5	6	7	5	6	6	1	1	6	6	7	7	7	7	7	6	6	4	6	6	5	4	4	2	4	4	5	7	1	4	6	2	5	7	6	1	4	4	4	1	7	2	4	5	.129704911467974	0
481	7	5	6	4	7	5	6	1	3	4	5	7	7	7	6	6	6	2	5	6	6	2	6	4	3	4	5	3	1	2	6	4	7	7	4	3	3	2	4	7	7	4	5	5	.130128211905506	0
571	7	7	5	6	7	6	7	3	3	5	2	6	6	7	6	6	4	4	7	6	6	7	7	5	3	7	6	4	2	6	7	4	6	6	7	6	6	3	5	6	7	4	6	5	.130617912730185	0
513	6	6	5	3	5	7	1	7	7	7	7	7	7	7	6	6	6	1	6	6	6	5	6	5	6	7	7	5	1	5	5	5	6	5	6	5	4	1	4	4	7	2	6	7	.13120047314535	0
452	7	7	6	6	6	7	4	4	6	6	2	7	6	7	4	7	7	4	6	6	6	1	7	4	4	7	7	4	1	6	4	4	6	7	6	3	1	4	7	3	7	2	7	7	.131527002287836	0
317	6	6	6	6	6	6	2	7	3	3	2	6	7	5	5	6	7	2	6	7	6	2	7	2	2	6	7	2	1	5	6	6	5	7	6	2	2	1	5	6	7	3	2	7	.131603907892858	0
329	6	4	7	3	2	5	1	2	4	5	4	7	5	6	7	4	7	7	5	6	6	4	7	2	1	3	5	4	1	5	2	1	6	6	5	3	4	4	4	1	6	3	3	5	.13179727660313	0
583	4	5	4	5	6	4	2	2	4	4	4	6	4	7	5	7	6	1	7	7	7	5	5	2	4	4	5	3	1	4	7	6	6	6	5	4	4	3	4	6	3	3	6	6	.131839909086787	0
518	7	7	6	6	7	7	2	5	6	6	6	5	5	7	6	4	6	2	6	7	7	6	6	4	7	7	7	4	1	7	7	7	7	7	4	5	6	1	7	7	7	7	7	6	.132028097467352	0
358	5	7	6	5	7	7	1	5	4	3	2	3	2	7	6	6	7	4	7	6	6	2	5	4	5	7	7	3	1	3	5	5	6	7	5	3	1	2	7	2	7	2	5	5	.132181768071413	0
442	5	5	7	3	3	7	4	3	5	3	6	6	5	7	7	4	5	4	5	5	5	3	5	3	5	5	5	1	1	6	5	3	5	5	5	5	3	3	3	2	7	4	4	5	.133015462314183	0
11	7	4	7	4	7	5	2	1	5	6	4	7	7	7	7	5	5	1	5	6	6	4	6	2	1	5	5	4	2	6	7	6	7	7	6	7	5	5	6	1	7	4	4	7	.13373028897814	0
128	7	7	7	4	7	7	1	1	7	7	7	7	7	7	3	7	7	4	7	7	7	3	7	7	7	7	7	7	1	7	7	2	7	7	7	1	4	1	7	1	7	4	7	7	.134036557272222	0
152	6	7	6	4	3	6	1	6	4	4	3	6	4	7	5	4	6	4	7	7	6	2	5	6	4	6	7	2	2	7	4	6	5	6	6	4	2	6	6	7	7	3	6	6	.134692551076346	0
273	6	5	6	7	7	7	7	1	5	6	7	7	4	6	5	7	6	2	7	5	5	6	7	4	3	6	6	7	1	5	6	1	6	6	6	1	6	2	5	6	6	7	6	5	.135117968331133	0
467	5	5	5	5	5	4	4	6	4	3	1	7	6	7	7	6	7	7	7	6	6	2	7	2	2	3	3	2	1	3	6	6	6	7	6	7	2	3	4	7	7	6	4	6	.135403120404267	0
323	5	6	7	2	6	7	6	5	3	5	3	6	4	7	6	7	7	3	7	7	7	7	7	5	7	6	6	4	1	7	6	5	7	7	6	6	6	3	7	7	7	7	6	5	.135436557970645	0
8	6	4	6	6	6	3	1	3	3	4	1	7	7	6	4	4	7	3	6	6	6	1	6	1	4	4	4	1	1	5	5	1	5	5	5	5	1	2	5	1	7	1	1	5	.135552769011198	0
534	4	3	5	5	4	3	1	4	4	5	3	5	4	4	3	3	4	5	4	3	4	2	4	3	3	4	4	4	2	3	3	2	3	5	4	2	2	2	3	1	6	3	4	3	.136147617635897	0
424	6	4	7	4	4	7	5	3	4	5	3	6	5	7	4	5	4	5	6	4	5	3	4	6	3	6	4	4	2	7	4	4	5	6	6	7	2	3	7	6	7	4	4	6	.137276165064463	0
70	7	6	4	6	7	5	1	3	5	5	5	7	7	7	5	6	6	6	7	7	7	3	5	6	4	6	6	3	1	6	7	6	7	7	6	4	3	1	7	4	7	2	2	7	.137495324157084	0
455	7	7	6	4	5	7	2	6	7	6	6	7	4	7	6	5	5	3	7	5	5	7	4	7	7	7	7	7	3	7	6	5	5	6	7	3	7	1	5	2	7	6	6	4	.137786454300757	0
68	7	6	5	2	2	7	4	4	4	4	4	6	6	7	4	7	7	4	5	6	6	5	5	4	5	7	7	5	1	4	6	6	5	7	6	2	4	1	5	6	5	4	6	6	.138509024759198	0
370	4	6	5	5	7	6	7	2	6	6	5	7	7	7	7	3	5	3	5	5	5	3	5	5	3	5	5	5	6	5	7	2	6	7	6	6	3	4	6	6	7	7	6	6	.138611934994076	0
528	6	7	3	6	5	6	5	5	3	4	3	4	3	6	5	3	3	3	3	3	3	3	3	2	3	6	6	4	2	3	7	5	4	6	4	5	1	3	6	4	4	6	6	5	.138716417415918	0
447	7	7	4	5	5	7	2	4	4	4	3	5	5	7	3	4	4	2	5	5	6	6	7	4	4	7	6	3	2	4	4	5	5	6	3	5	5	1	3	4	6	2	4	5	.138755299304845	0
13	7	7	7	4	6	7	1	3	6	6	4	6	5	7	7	5	7	6	6	7	7	5	6	5	4	4	6	3	2	6	7	5	6	7	5	3	2	3	4	3	7	1	1	7	.138822501016868	0
232	7	7	6	7	6	7	7	3	5	6	4	6	1	6	3	6	2	1	4	5	6	6	7	5	6	7	7	5	1	6	7	5	6	6	7	3	5	2	5	6	6	7	6	6	.139452204547216	0
235	7	7	7	3	7	7	5	1	7	7	7	7	7	7	7	5	7	2	7	4	7	6	7	7	7	7	7	7	4	7	7	1	7	7	6	7	7	2	7	1	7	7	7	6	.139654442448044	0
149	7	7	6	5	7	7	3	1	5	6	5	7	7	7	1	6	7	2	6	6	6	5	7	7	3	7	6	4	1	7	7	1	6	7	6	6	4	2	6	6	7	7	5	6	.140035747620143	0
249	4	7	6	3	5	5	2	4	4	4	1	4	3	7	7	4	6	4	6	5	6	1	6	5	4	5	4	1	1	6	6	3	4	6	4	3	2	2	6	6	7	4	4	5	.141658188219032	0
28	7	6	7	7	6	5	4	3	3	4	3	4	4	7	4	5	6	3	3	4	4	2	4	3	3	6	7	4	1	3	6	3	5	6	4	3	2	3	3	4	7	4	7	4	.142876403987529	0
686	5	6	4	6	5	4	3	4	4	7	4	7	7	6	4	7	7	5	5	5	7	7	7	3	3	5	5	5	1	4	4	6	7	6	6	7	7	3	4	2	4	5	5	5	.143163654761538	0
190	7	7	7	4	7	7	7	1	7	7	1	7	7	7	7	7	7	1	7	7	7	7	7	4	3	7	7	1	1	7	7	7	7	7	7	1	6	2	7	1	7	7	7	7	.143257055336443	0
365	7	7	7	2	7	7	7	1	7	7	7	7	7	7	7	7	7	1	7	7	7	7	6	7	7	7	7	4	1	7	7	1	7	7	5	1	5	1	7	1	7	4	2	5	.144428519209995	0
538	4	7	5	7	7	7	1	4	4	3	1	5	5	7	5	7	7	1	7	7	7	4	7	5	4	7	7	1	1	5	7	7	7	5	7	5	3	1	3	3	7	5	3	7	.144615945458298	0
451	6	7	7	2	6	7	6	1	7	7	5	7	4	6	7	4	4	5	5	6	6	7	6	7	7	7	6	6	2	7	5	1	6	7	4	1	7	4	6	3	4	2	5	4	.144868049153243	0
446	6	5	6	4	6	7	5	3	3	4	3	6	6	6	5	6	5	3	6	5	3	2	6	6	4	6	7	2	1	5	5	6	5	5	6	4	3	2	3	2	7	3	6	5	.146965884166951	0
567	7	3	7	5	6	2	5	4	3	4	3	7	2	7	1	4	5	3	6	5	7	3	7	2	2	3	7	3	1	5	7	5	6	7	6	4	3	3	4	6	7	4	2	6	.14705804436821	0
496	5	4	7	2	6	5	1	1	5	7	6	7	6	7	6	6	5	6	6	6	6	7	6	1	4	4	6	4	1	7	5	1	5	6	4	6	6	3	7	7	7	3	3	6	.14712111182315	0
325	6	5	4	2	6	7	3	4	4	7	5	4	2	6	5	4	2	4	4	5	4	4	4	6	6	6	5	5	4	5	5	5	4	7	4	4	5	5	7	6	4	6	4	5	.14739284150128	0
552	7	7	6	4	6	6	3	3	3	3	2	6	3	6	3	6	6	2	6	6	6	5	6	2	2	5	6	2	1	4	2	6	6	6	6	6	6	1	6	6	7	2	3	6	.147552331835125	0
225	7	7	7	6	7	7	7	1	1	6	1	7	5	7	6	7	7	3	3	6	6	7	7	7	6	7	7	5	1	7	7	7	6	7	6	5	7	1	6	4	7	6	7	7	.148040499650121	0
2	5	6	6	6	2	3	3	3	4	1	3	5	4	5	6	5	5	4	5	5	4	4	4	3	3	5	5	4	1	4	4	6	5	6	5	6	4	3	4	7	7	4	4	4	.148787616092139	0
183	7	6	7	5	6	6	1	5	5	3	3	6	1	6	3	7	6	3	7	6	6	3	7	3	7	7	5	5	1	6	6	3	5	7	5	3	5	1	4	1	7	1	3	7	.149087035793068	0
31	6	6	4	4	4	4	6	4	4	4	4	4	4	6	7	7	7	4	6	6	6	3	7	5	4	7	6	3	1	6	6	5	5	6	3	1	3	3	6	7	6	2	2	4	.150058399762263	0
210	6	5	4	3	5	5	4	5	4	4	4	5	6	7	7	4	5	2	6	6	5	3	4	2	2	3	7	4	3	4	5	6	4	6	4	1	2	2	5	1	4	6	5	6	.151132664052548	0
247	5	3	5	5	5	2	1	4	1	2	1	5	1	7	4	5	7	5	4	6	5	1	3	3	2	5	7	1	1	3	5	4	5	7	5	5	1	1	4	4	7	4	3	5	.15156539874209	0
460	7	7	2	5	7	4	5	2	6	5	3	7	5	7	5	7	7	4	7	7	5	6	7	3	7	6	7	6	1	6	7	5	6	7	6	3	3	2	6	5	7	5	5	7	.152392318307247	0
311	7	6	5	7	5	7	1	3	3	4	2	4	2	7	4	5	7	3	7	6	5	4	7	2	3	5	6	3	5	4	4	3	4	7	4	3	4	1	4	7	7	5	5	6	.152485806050857	0
476	6	7	6	4	7	6	6	6	5	7	6	7	3	7	4	7	7	1	7	6	7	2	7	4	4	7	7	7	1	7	6	6	6	6	6	1	3	1	7	7	7	3	3	7	.152886569175596	0
294	7	6	7	3	5	7	3	1	7	7	7	7	4	7	7	7	3	4	4	5	5	7	4	5	5	5	7	7	1	5	5	1	5	7	7	1	7	2	7	4	7	7	7	7	.153358113361387	0
97	6	7	7	3	6	7	2	2	5	5	2	5	6	7	5	6	6	2	4	5	6	4	6	3	4	5	6	3	1	7	6	4	6	6	7	6	2	6	7	7	7	2	5	5	.154601453102536	0
374	5	6	6	4	5	5	1	2	3	4	4	6	1	6	7	6	7	2	6	7	7	2	5	5	5	5	7	3	1	5	6	6	5	6	6	4	3	7	6	6	4	2	6	6	.154764673480977	0
540	5	6	7	4	5	7	3	5	5	5	5	7	2	7	7	6	7	7	6	6	6	4	6	7	7	7	6	7	1	7	5	3	5	7	6	7	5	3	6	7	4	1	7	6	.156611772408534	0
707	6	7	7	6	6	6	1	1	6	6	5	6	4	7	5	6	5	1	4	6	4	7	7	5	5	7	7	2	1	7	7	4	5	7	5	6	6	2	5	3	7	1	7	6	.158151071949324	0
337	6	6	4	4	5	7	1	4	5	6	6	5	1	6	6	6	6	2	4	4	5	6	6	1	5	6	6	6	5	5	6	6	5	5	5	2	6	3	4	2	6	6	6	6	.159345006089573	0
203	6	7	7	4	6	6	6	4	5	4	4	4	2	7	4	6	5	2	6	5	4	6	6	4	6	6	6	3	1	7	6	6	6	6	3	2	6	2	6	1	5	2	2	6	.160950457538658	0
486	7	7	7	6	6	7	3	2	2	2	2	7	6	7	3	7	7	2	5	5	7	2	6	2	5	7	6	2	1	2	7	6	6	7	6	4	3	2	3	7	4	1	2	6	.161618855798686	0
392	7	7	7	3	6	6	3	2	4	5	5	3	1	6	7	3	5	1	7	6	7	2	6	1	6	6	6	5	3	6	6	1	5	7	3	1	2	1	7	1	7	4	6	4	.161911748254825	0
